Latitude, Longitude, Air Quality
55.951763957302,-3.1917902476472,153
55.951651598,-3.191698624502,151
55.95154984754,-3.1916438976608,144
55.951493887829,-3.1916163489348,140
55.951437275592,-3.1915923251742,138
55.951379637974,-3.1915683882471,141
55.951271058642,-3.1915256597934,148
55.951220533411,-3.1915076889975,151
55.951169058252,-3.1914880963451,156
55.951120394613,-3.1914803185991,159
55.95096278358,-3.1915169973815,165
55.950936530657,-3.1915070210401,165
55.950915211079,-3.1914891060225,166
55.950893154379,-3.1914326023105,163
55.950890281813,-3.1913546475764,166
55.950918547086,-3.1912035474781,166
55.950922752997,-3.1911684193785,165
55.950927366851,-3.1911317095126,165
55.950940641313,-3.1910637288848,167
55.950946823451,-3.1910378653438,168
55.950968409955,-3.1909601200998,166
55.951010462418,-3.1907587229547,164
55.951024387787,-3.1906041023979,164
55.951024978711,-3.1905374877011,163
55.95102970635,-3.1904568654815,165
55.951028783134,-3.1904261748598,166
55.95102822408,-3.1904138310885,165
55.951028644047,-3.1904008898896,165
55.95103027588,-3.19038324613,166
55.951039319654,-3.1902956221544,165
55.951041898617,-3.190246150663,166
55.951047236681,-3.1901900259604,165
55.951088037752,-3.1897944776044,162
55.951106644015,-3.1897083750546,166
55.951149144508,-3.1895327465172,166
55.951169339981,-3.1894534651199,166
55.951201836787,-3.1893066348234,167
55.951220097338,-3.1892241546352,167
55.951237592782,-3.1891438470049,166
55.951252284928,-3.1890686467781,166
55.951293486081,-3.1889181410489,165
55.951306891954,-3.1888366347472,166
55.951423174255,-3.1885128368791,167
55.951447389092,-3.1884597142446,166
55.951456943821,-3.1884287269275,167
55.951460367096,-3.1883639369139,167
55.951483408826,-3.1882757096766,166
55.951487664612,-3.1880999855791,166
55.951448560228,-3.188010633264,166
55.951418282745,-3.1879378371071,165
55.951387737881,-3.1878656003441,166
55.951364589802,-3.1878150200079,166
55.95134559848,-3.1877766548553,166
55.951315570832,-3.1877004367828,165
55.95130852234,-3.1876837580559,165
55.95130852234,-3.1876837580553,163
55.95130850297,-3.1876835384893,160
55.951305011951,-3.1876558956949,166
55.95130373506,-3.1876138513751,167
55.951292140685,-3.1875797712324,167
55.951279109116,-3.1874990465685,164
55.951267518705,-3.1874360402694,163
55.951261381597,-3.1873024542061,163
55.951269939877,-3.187231788742,161
55.951274038877,-3.1871786803869,160
55.951266224074,-3.187115768193,157
55.95128659527,-3.187045451397,155
55.951295981653,-3.1869594947962,153
55.951292630472,-3.1867357766149,154
55.951304522456,-3.1862793865846,165
55.951310047401,-3.1861898425896,165
55.951314419953,-3.1860968523131,164
55.951318046948,-3.1860033547839,166
55.951324221193,-3.1859083809513,165
55.951333105744,-3.1858120682247,167
55.951352423001,-3.1856181059076,166
55.951361051315,-3.1855255232884,167
55.951366190762,-3.1853374166624,166
55.951363905499,-3.1852452437259,167
55.95135725812,-3.1851641129397,169
55.951348916367,-3.1850951668079,168
55.951339203462,-3.1850346709897,169
55.951325636295,-3.1849743453472,169
55.951311593264,-3.1849180445117,170
55.951281443259,-3.1848072785294,171
55.951247773488,-3.1847026207551,171
55.951222407406,-3.1846476500432,170
55.951200710204,-3.1846051767667,169
55.951174515804,-3.1845627214052,168
55.951145175582,-3.1845258582825,170
55.951024196901,-3.1844212543576,167
55.950985285653,-3.184392356237,169
55.950947461854,-3.184366644695,169
55.950908091835,-3.1843428141325,168
55.950829952135,-3.1843036527982,170
55.950822677757,-3.1843018883253,170
55.950817106658,-3.1842970648328,169
55.950808801349,-3.1842883548928,170
55.950804601039,-3.1842845385408,169
55.950710148532,-3.1842569680021,168
55.950710148532,-3.1842569680021,168
55.950691062959,-3.1842210454469,169
55.950679349605,-3.1841501729093,170
55.950677414568,-3.1840881536094,169
55.950684264819,-3.1840110475828,170
55.950693913558,-3.1839549954718,170
55.950704173607,-3.1838840695703,169
55.950732355105,-3.1836932060456,169
55.950740455646,-3.1836384323247,169
55.95074369319,-3.1836063028885,171
55.95074369319,-3.1836063028885,171
55.95074369319,-3.1836063028885,171
55.95074369319,-3.1836063028885,171
55.95074369319,-3.1836063028885,171
55.95074369319,-3.1836063028885,170
55.95074369319,-3.1836063028885,171
55.95074369319,-3.1836063028885,170
55.95074369319,-3.1836063028885,170
55.95074369319,-3.1836063028885,170
55.95074369319,-3.1836063028885,170
55.95074369319,-3.1836063028885,171
55.95074369319,-3.1836063028885,172
55.950742612741,-3.1835920779087,172
55.95074054351,-3.1835516411206,172
55.950742683322,-3.1835184706576,172
55.950742683322,-3.1835184706576,172
55.950754018869,-3.1834142620998,172
55.95076273643,-3.1833510300268,171
55.950780912539,-3.1832228231189,174
55.950814780649,-3.183010974422,174
55.950849977999,-3.1827908290845,174
55.950872907418,-3.1825713986323,174
55.950882731262,-3.1825066445269,173
55.950901430875,-3.18242489098,172
55.951032301756,-3.1817087205571,168
55.951044166508,-3.1816183110089,167
55.951071058585,-3.1813542298762,168
55.951093468779,-3.1811884365656,168
55.951110332627,-3.1810977969538,167
55.951130964674,-3.1810146258748,164
55.951154798571,-3.1809137454216,163
55.951181323577,-3.1808064537371,160
55.951258436304,-3.1805233997392,159
55.951282849051,-3.1804335651205,163
55.951318675151,-3.1802785568069,165
55.951339640938,-3.1801846890652,161
55.951358662746,-3.1801029929166,160
55.951395085156,-3.179942503578,161
55.951449992371,-3.1796469788487,171
55.951463326167,-3.1795756268681,172
55.951480711793,-3.1794978397979,171
55.951503007333,-3.1794105353817,171
55.951517906626,-3.1793432153086,173
55.951535797036,-3.1792743488426,173
55.95155275151,-3.1792030022099,172
55.951579890954,-3.1790675229577,172
55.951590087799,-3.179010675553,172
55.951600766805,-3.1789568048408,171
55.951616994138,-3.1788843613631,171
55.951670616536,-3.1786806544965,164
55.951687147982,-3.1786222709275,162
55.951705560682,-3.1785520784702,162
55.951723891704,-3.1784815885142,166
55.951767856841,-3.1783144241875,164
55.951792565393,-3.1782217458865,167
55.951815269798,-3.1781240112968,170
55.951831894357,-3.1780441564397,167
55.951848529043,-3.1779569166254,168
55.95186326749,-3.1778825174454,167
55.951878073358,-3.1778110651424,167
55.951977526946,-3.1774265227521,170
55.951998182187,-3.1773445797349,172
55.952064968153,-3.177089366829,175
55.952093438248,-3.1769849988565,174
55.952112209044,-3.176917905937,177
55.952125669912,-3.176862060843,176
55.952135449912,-3.1768088404641,175
55.952139690613,-3.1767574675576,175
55.952157716986,-3.1766127849213,176
55.952157716986,-3.1766127849213,177
55.952157716986,-3.1766127849213,177
55.952167756082,-3.1765632406728,177
55.952174149158,-3.176539621028,178
55.952184004142,-3.1765169280748,177
55.952190008269,-3.1765025889572,177
55.952225161119,-3.1764175579391,178
55.952251688001,-3.1763553438009,178
55.952251688001,-3.1763553438009,178
55.952251688001,-3.1763553438009,178
55.952251688001,-3.1763553438009,178
55.952251688001,-3.1763553438009,178
55.952251688001,-3.1763553438009,177
55.952251688001,-3.1763553438009,176
55.952251688001,-3.1763553438009,177
55.952251688001,-3.1763553438009,177
55.952251688001,-3.1763553438009,178
55.952251688001,-3.1763553438009,179
55.952270687214,-3.1763001907061,178
55.952273335617,-3.1762853455944,178
55.952275465021,-3.1762577588186,177
55.952293198919,-3.1761695062415,179
55.952348403403,-3.1759713218782,179
55.952361661163,-3.1758223069016,182
55.952361661163,-3.1758223069016,182
55.952361661163,-3.1758223069016,184
55.952361661163,-3.1758223069016,183
55.952361661163,-3.1758223069016,183
55.952361661163,-3.1758223069016,182
55.952361661163,-3.1758223069016,182
55.952361661163,-3.1758223069016,181
55.952361661163,-3.1758223069016,181
55.952361661163,-3.1758223069016,181
55.952360966785,-3.175800271288,182
55.95238660937,-3.1755708887802,183
55.952404745105,-3.1754706891142,180
55.952431301326,-3.1753141411867,179
55.952447776579,-3.1752425451587,178
55.952462065119,-3.1751846659785,176
55.952479381528,-3.1751221396787,176
55.952530276532,-3.174958342339,183
55.952560262969,-3.1748902353399,183
55.952589768175,-3.1748359181745,182
55.952633277615,-3.1747283004956,182
55.952643793569,-3.1746780494793,182
55.952658790519,-3.174612039138,182
55.952673601706,-3.1745430516074,182
55.952671431574,-3.1744323750294,181
55.95266239771,-3.1743970414825,181
55.952643464199,-3.1743401103608,181
55.952623565065,-3.1743048255589,181
55.952603250793,-3.1742758217106,181
55.952581619935,-3.1742556162158,179
55.952559736628,-3.1742363542821,177
55.952474426549,-3.1741651804135,173
55.95236879772,-3.174081042038,165
55.952321972449,-3.1740477749979,163
55.952165999745,-3.1739333511015,176
55.952123757517,-3.1739050989655,180
55.952072747562,-3.1738740602258,182
55.95202439462,-3.1738495362543,183
55.951931875484,-3.1738087182261,180
55.951830622761,-3.1733705279233,176
55.95187693464,-3.1730712839531,181
55.95188186926,-3.1729482768325,188
55.951806306541,-3.1727570254959,191
55.951768023037,-3.1727236381007,189
55.951641711315,-3.1726392872312,185
55.951550565343,-3.1725875360888,184
55.95136109153,-3.1724410135187,176
55.951313294989,-3.172398523575,175
55.951265273641,-3.1723567172977,172
55.951221856816,-3.172321508858,166
55.951176389709,-3.1722860453118,167
55.951036227084,-3.1721821544192,158
55.950987976063,-3.1721510219592,148
55.950939121832,-3.1721249378416,155
55.950794862366,-3.1720820584297,147
55.950733392787,-3.1720860545729,145
55.95068123717,-3.1721082309889,145
55.95063050237,-3.1721323279028,135
55.950583049916,-3.1721788778876,130
55.950541670558,-3.1722298781655,128
55.950501417959,-3.1722826790079,124
55.950461818611,-3.1723562926581,120
55.950424482846,-3.1724375016439,116
55.950391659806,-3.1725238383679,118
55.95036252393,-3.172609318511,123
55.950333475507,-3.1727062681236,132
55.950305794839,-3.1728061082222,139
55.950275723395,-3.1729068016007,139
55.950243473189,-3.173008416574,138
55.950207656867,-3.1731084631985,143
55.950169100209,-3.1732107612147,141
55.950131137538,-3.1733137558099,141
55.95009174842,-3.1734177242691,142
55.950009992189,-3.1736183945536,135
55.949897471055,-3.1738772400189,140
55.94986961039,-3.1739613273775,140
55.949850301462,-3.1740500897494,128
55.949835794606,-3.1741398484821,156
55.949829958019,-3.1742244301747,161
55.949830738018,-3.1743110244981,161
55.949842208912,-3.1743908258621,159
55.949856263931,-3.1744686146678,155
55.94987315392,-3.1745345784187,159
55.94989038098,-3.1746028583065,165
55.949912367659,-3.1746646060088,166
55.950078553817,-3.1749510523416,165
55.950117442149,-3.1750094659507,162
55.950191580065,-3.1751282714301,156
55.950264801008,-3.1752503084319,149
55.95029844608,-3.1753101719247,148
55.950336242523,-3.1753720655965,149
55.950381403681,-3.1754320633587,150
55.950644770987,-3.1757126116272,148
55.95074928338,-3.1758189113636,145
55.950794072038,-3.1758784632567,147
55.950867488635,-3.1759949006513,147
55.950903939288,-3.1760354074501,149
55.950937824524,-3.1760616881016,150
55.950968413231,-3.1760649037274,158
55.950997129102,-3.1760421279141,166
55.951048027079,-3.1759614124255,168
55.951100571563,-3.1758578792044,171
55.951152237052,-3.1757597749839,173
55.951172501776,-3.1757129468485,173
55.951188917533,-3.1756816661417,173
55.951201608295,-3.1756593682572,174
55.951208706254,-3.175649597268,175
55.951208706254,-3.175649597268,176
55.951208706254,-3.175649597268,176
55.951208706254,-3.175649597268,176
55.951208706254,-3.175649597268,176
55.951208706254,-3.175649597268,177
55.951208706254,-3.175649597268,177
55.951208706254,-3.175649597268,177
55.951208706254,-3.175649597268,177
55.951208706254,-3.175649597268,177
