Latitude, Longitude, Air Quality
55.943915786273,-3.213930269544,168
55.943854917542,-3.2140404300873,189
55.943801122924,-3.2141495959316,217
55.943754136812,-3.2142570297529,244
55.943676502049,-3.2144390578608,305
55.943637452066,-3.2145125857724,340
55.943619375759,-3.2145518998577,348
55.943605425999,-3.2145788513324,343
55.943570626881,-3.2146646106173,301
55.94355246398,-3.2147026663871,281
55.94355246398,-3.2147026663871,258
55.943502578223,-3.21479626354,235
55.943377086022,-3.2150486047633,170
55.94326731175,-3.2152305237081,140
55.943164784207,-3.2153659657013,123
55.942907569834,-3.2156667116289,99
55.942829677053,-3.2157414035631,97
55.942635411067,-3.2159458120487,87
55.942510860782,-3.216066876618,82
55.942407673761,-3.2162063253547,81
55.942330029278,-3.2163835709878,79
55.942254305524,-3.2165850838403,72
55.942179121866,-3.2167784460624,72
55.942112716934,-3.2169934259633,68
55.942048813736,-3.2171892418988,65
55.941971684468,-3.2174133339091,67
55.941905143942,-3.217626923202,71
55.941827653801,-3.2178518006923,76
55.941756285375,-3.2180661152457,75
55.94157415489,-3.2185082669429,79
55.941482087038,-3.218705270797,82
55.941377226128,-3.2188932587073,81
55.941183538393,-3.2193303397858,80
55.941093777044,-3.219544636097,86
55.940914267506,-3.220011926219,86
55.940819995317,-3.2202370322176,94
55.940725129779,-3.2204629472283,99
55.940637681838,-3.220677267608,113
55.940554458447,-3.2208826001786,126
55.940470757365,-3.2210580739285,142
55.940389816114,-3.221231033864,159
55.940253988433,-3.2215137109242,191
55.940186356765,-3.2216542528386,196
55.940061401977,-3.2219104786056,205
55.940004836652,-3.2220251193698,219
55.939956689127,-3.2221354203315,228
55.939911025519,-3.2222482740488,238
55.939855463774,-3.2223663888804,263
55.939799233684,-3.2224830415249,288
55.939694664789,-3.2226810916898,284
55.93964216681,-3.2227682547198,281
55.939586216073,-3.2228441768311,298
55.939523548048,-3.2229229455562,321
55.939403435414,-3.2230745304022,335
55.939347654128,-3.2231429410807,330
55.939295318053,-3.2232241073053,355
55.939248986014,-3.2232941569696,371
55.93920646198,-3.2233595679354,382
55.93917665445,-3.2234328944801,393
55.939155338683,-3.2235104532579,413
55.939139967666,-3.2235909771266,422
55.939126106758,-3.2236755230857,423
55.939109855439,-3.2237433196488,432
55.939099159903,-3.2238061398207,437
55.939094099026,-3.223866890297,436
55.939092963238,-3.2239358774547,449
55.939093849418,-3.2239964776646,464
55.939099513173,-3.224041712008,473
55.93910576117,-3.2240707627896,475
55.93911123357,-3.2241005221466,480
55.939114869867,-3.2241689583836,482
55.939116346787,-3.2241836138137,483
55.93911898466,-3.2242076442021,484
55.939121390238,-3.2242415253657,484
55.939120149478,-3.2243523134447,481
55.939118553893,-3.2244246501394,479
55.939117927987,-3.2245984245025,470
55.939121917303,-3.2247017608582,458
55.939127087403,-3.2248090933267,452
55.939129415087,-3.224933980447,442
55.939132376062,-3.2250605143093,420
55.939140812874,-3.2252010533825,415
55.939178534837,-3.2256088783189,431
55.939189388037,-3.2257101109876,439
55.939200881989,-3.2258422198241,444
55.939200897812,-3.2259757590551,448
55.939202725176,-3.2260682776168,453
55.939210964253,-3.2261507953305,444
55.939373207115,-3.2260425444813,512
55.939406904892,-3.2259816778169,515
55.93944168155,-3.2259181955175,528
55.93947035026,-3.2258665102483,534
55.93947035026,-3.2258665102483,545
55.939524101378,-3.2257646891888,578
55.939545646921,-3.2257167977776,634
55.939554264154,-3.2257024598665,621
55.939552176177,-3.2257066631788,597
55.939549695749,-3.2257116030896,582
55.939547343408,-3.2257170014115,578
55.939545272639,-3.2257240063947,559
55.939543613031,-3.2257325487274,524
55.9395424282,-3.225756368133,514
55.939542590375,-3.2257721671517,498
55.939543727851,-3.2257902617552,478
55.939545147872,-3.2258063430363,445
55.939549437523,-3.2258440377216,429
55.939551937227,-3.2258655558608,427
55.939562708335,-3.225856180774,430
55.939562708335,-3.225856180774,435
55.939562708335,-3.225856180774,444
55.939562708335,-3.225856180774,449
55.939562708335,-3.225856180774,435
55.939562708335,-3.225856180774,437
55.939562708335,-3.225856180774,434
55.939562708335,-3.225856180774,419
55.939562708335,-3.225856180774,413
55.939562708335,-3.225856180774,400
55.939562708335,-3.225856180774,398
55.939562708335,-3.225856180774,399
55.939562708335,-3.225856180774,398
55.939562708335,-3.225856180774,398
55.939562708335,-3.225856180774,398
55.939576924764,-3.2258364368477,396
55.939596101145,-3.2258037894257,390
55.939624752655,-3.2257565799035,382
55.93966340257,-3.2256975367745,372
55.939707821743,-3.2256333945229,356
55.939745240532,-3.2255728749136,335
