#Location	Time	Pollutant	Actual	Estimated	Power
Gorgie Road	7	NO	70	160.8880046	11
Gorgie Road	7	NO	70	163.18832	12
Gorgie Road	7	NO	70	165.3127109	13
Gorgie Road	7	NO	70	167.2567666	14
Gorgie Road	7	NO	70	169.0216611	15
Gorgie Road	7	NO	70	170.612663	16
Gorgie Road	7	NO	70	172.037967	17
Gorgie Road	7	NO	70	173.3077518	18
Gorgie Road	7	NO	70	174.4334134	19
Gorgie Road	8	NO	79	204	0
Gorgie Road	8	NO	79	222.4955427	1
Gorgie Road	8	NO	79	238.0456815	2
Gorgie Road	8	NO	79	251.3734882	3
Gorgie Road	8	NO	79	263.7630422	4
Gorgie Road	8	NO	79	275.873574	5
Gorgie Road	8	NO	79	287.8535252	6
Gorgie Road	8	NO	79	299.6378207	7
Gorgie Road	8	NO	79	311.1050068	8
Gorgie Road	8	NO	79	322.1358044	9
Gorgie Road	8	NO	79	332.6308416	10
Gorgie Road	8	NO	79	342.5145526	11
Gorgie Road	8	NO	79	351.7348207	12
Gorgie Road	8	NO	79	360.2612325	13
Gorgie Road	8	NO	79	368.0827018	14
Gorgie Road	8	NO	79	375.2047009	15
Gorgie Road	8	NO	79	381.6462745	16
Gorgie Road	8	NO	79	387.4370191	17
Gorgie Road	8	NO	79	392.6141998	18
Gorgie Road	8	NO	79	397.2201417	19
Gorgie Road	1	NO2	55	33	0
Gorgie Road	1	NO2	55	34.08586255	1
Gorgie Road	1	NO2	55	34.52390452	2
Gorgie Road	1	NO2	55	34.50078938	3
Gorgie Road	1	NO2	55	34.28078658	4
Gorgie Road	1	NO2	55	34.00959167	5
Gorgie Road	1	NO2	55	33.74054904	6
Gorgie Road	1	NO2	55	33.48750127	7
Gorgie Road	1	NO2	55	33.25185265	8
Gorgie Road	1	NO2	55	33.03236228	9
Gorgie Road	1	NO2	55	32.82788726	10
Gorgie Road	1	NO2	55	32.6378076	11
Gorgie Road	1	NO2	55	32.46185343	12
Gorgie Road	1	NO2	55	32.29987186	13
Gorgie Road	1	NO2	55	32.15166493	14
Gorgie Road	1	NO2	55	32.01690691	15
Gorgie Road	1	NO2	55	31.89511926	16
Gorgie Road	1	NO2	55	31.78568087	17
Gorgie Road	1	NO2	55	31.68785628	18
Gorgie Road	1	NO2	55	31.60083058	19
Gorgie Road	2	NO2	48	33.57142857	0
Gorgie Road	2	NO2	48	34.83902387	1
Gorgie Road	2	NO2	48	35.57163681	2
Gorgie Road	2	NO2	48	35.81051065	3
Gorgie Road	2	NO2	48	35.77383407	4
Gorgie Road	2	NO2	48	35.61994991	5
Gorgie Road	2	NO2	48	35.42528055	6
Gorgie Road	2	NO2	48	35.22124045	7
Gorgie Road	2	NO2	48	35.02014003	8
Gorgie Road	2	NO2	48	34.82698294	9
Gorgie Road	2	NO2	48	34.64405694	10
Gorgie Road	2	NO2	48	34.47257355	11
Gorgie Road	2	NO2	48	34.31321592	12
Gorgie Road	2	NO2	48	34.16631536	13
Gorgie Road	2	NO2	48	34.03191664	14
Gorgie Road	2	NO2	48	33.90981867	15
Gorgie Road	2	NO2	48	33.79961488	16
Gorgie Road	2	NO2	48	33.70073657	17
Gorgie Road	2	NO2	48	33.61249685	18
Gorgie Road	2	NO2	48	33.53413189	19
Gorgie Road	3	NO2	40	33.28571429	0
Gorgie Road	3	NO2	40	37.24478212	1
Gorgie Road	3	NO2	40	40.16047543	2
Gorgie Road	3	NO2	40	41.86213187	3
Gorgie Road	3	NO2	40	42.77561625	4
Gorgie Road	3	NO2	40	43.29132753	5
Gorgie Road	3	NO2	40	43.62479737	6
Gorgie Road	3	NO2	40	43.87536679	7
Gorgie Road	3	NO2	40	44.08564831	8
Gorgie Road	3	NO2	40	44.27331158	9
Gorgie Road	3	NO2	40	44.44546411	10
Gorgie Road	3	NO2	40	44.60482889	11
Gorgie Road	3	NO2	40	44.7523748	12
Gorgie Road	3	NO2	40	44.88844214	13
Gorgie Road	3	NO2	40	45.01322241	14
Gorgie Road	3	NO2	40	45.1269534	15
Gorgie Road	3	NO2	40	45.22998547	16
Gorgie Road	3	NO2	40	45.32278892	17
Gorgie Road	3	NO2	40	45.40593557	18
Gorgie Road	3	NO2	40	45.4800709	19
Gorgie Road	4	NO2	38	35.14285714	0
Gorgie Road	4	NO2	38	38.24177431	1
Gorgie Road	4	NO2	38	40.51471716	2
Gorgie Road	4	NO2	38	41.89263314	3
Gorgie Road	4	NO2	38	42.71708373	4
Gorgie Road	4	NO2	38	43.27521913	5
Gorgie Road	4	NO2	38	43.71610134	6
Gorgie Road	4	NO2	38	44.10332503	7
Gorgie Road	4	NO2	38	44.46105403	8
Gorgie Road	4	NO2	38	44.7972897	9
Gorgie Road	4	NO2	38	45.11389221	10
Gorgie Road	4	NO2	38	45.41064999	11
Gorgie Road	4	NO2	38	45.68688984	12
Gorgie Road	4	NO2	38	45.94209218	13
Gorgie Road	4	NO2	38	46.17609919	14
Gorgie Road	4	NO2	38	46.38915153	15
Gorgie Road	4	NO2	38	46.58185158	16
Gorgie Road	4	NO2	38	46.75509688	17
Gorgie Road	4	NO2	38	46.91000498	18
Gorgie Road	4	NO2	38	47.04784064	19
Gorgie Road	5	NO2	33	36.14285714	0
Gorgie Road	5	NO2	33	39.84211047	1
Gorgie Road	5	NO2	33	42.29065782	2
Gorgie Road	5	NO2	33	43.58955476	3
Gorgie Road	5	NO2	33	44.25555955	4
Gorgie Road	5	NO2	33	44.65495181	5
Gorgie Road	5	NO2	33	44.95668194	6
Gorgie Road	5	NO2	33	45.22364344	7
Gorgie Road	5	NO2	33	45.47527424	8
Gorgie Road	5	NO2	33	45.71563536	9
Gorgie Road	5	NO2	33	45.94413972	10
Gorgie Road	5	NO2	33	46.15927238	11
Gorgie Road	5	NO2	33	46.35974471	12
Gorgie Road	5	NO2	33	46.54477108	13
Gorgie Road	5	NO2	33	46.71406727	14
Gorgie Road	5	NO2	33	46.86777196	15
Gorgie Road	5	NO2	33	47.00635485	16
Gorgie Road	5	NO2	33	47.1305303	17
Gorgie Road	5	NO2	33	47.24118155	18
Gorgie Road	5	NO2	33	47.33929672	19
Gorgie Road	6	NO2	36	40.85714286	0
Gorgie Road	6	NO2	36	44.75130024	1
Gorgie Road	6	NO2	36	47.28074315	2
Gorgie Road	6	NO2	36	48.59432638	3
Gorgie Road	6	NO2	36	49.26492167	4
Gorgie Road	6	NO2	36	49.68287543	5
Gorgie Road	6	NO2	36	50.02023286	6
Gorgie Road	6	NO2	36	50.33585708	7
Gorgie Road	6	NO2	36	50.64426622	8
Gorgie Road	6	NO2	36	50.94553323	9
Gorgie Road	6	NO2	36	51.23621529	10
Gorgie Road	6	NO2	36	51.51284794	11
Gorgie Road	6	NO2	36	51.77284029	12
Gorgie Road	6	NO2	36	52.01455381	13
Gorgie Road	6	NO2	36	52.23716675	14
Gorgie Road	6	NO2	36	52.44050713	15
Gorgie Road	6	NO2	36	52.62490114	16
Gorgie Road	6	NO2	36	52.79104432	17
Gorgie Road	6	NO2	36	52.93989381	18
Gorgie Road	6	NO2	36	53.07257903	19
Gorgie Road	7	NO2	65	55.14285714	0
Gorgie Road	7	NO2	65	59.64232756	1
Gorgie Road	7	NO2	65	62.44022849	2
Gorgie Road	7	NO2	65	63.78458949	3
Gorgie Road	7	NO2	65	64.39754283	4
Gorgie Road	7	NO2	65	64.74861246	5
Gorgie Road	7	NO2	65	65.03434419	6
Gorgie Road	7	NO2	65	65.31564305	7
Gorgie Road	7	NO2	65	65.60303818	8
Gorgie Road	7	NO2	65	65.89231184	9
Gorgie Road	7	NO2	65	66.17680881	10
Gorgie Road	7	NO2	65	66.45093397	11
Gorgie Road	7	NO2	65	66.71074933	12
Gorgie Road	7	NO2	65	66.95377384	13
Gorgie Road	7	NO2	65	67.17865147	14
Gorgie Road	7	NO2	65	67.38486099	15
Gorgie Road	7	NO2	65	67.57249133	16
Gorgie Road	7	NO2	65	67.7420708	17
Gorgie Road	7	NO2	65	67.89443525	18
Gorgie Road	7	NO2	65	68.03062494	19
Gorgie Road	8	NO2	77	77.71428571	0
Gorgie Road	8	NO2	77	84.31786063	1
Gorgie Road	8	NO2	77	88.73781807	2
Gorgie Road	8	NO2	77	91.28968433	3
Gorgie Road	8	NO2	77	92.91563191	4
Gorgie Road	8	NO2	77	94.22096093	5
Gorgie Road	8	NO2	77	95.44924882	6
Gorgie Road	8	NO2	77	96.66606412	7
Gorgie Road	8	NO2	77	97.87260716	8
Gorgie Road	8	NO2	77	99.05296349	9
Gorgie Road	8	NO2	77	100.1902437	10
Gorgie Road	8	NO2	77	101.2710125	11
Gorgie Road	8	NO2	77	102.2858843	12
Gorgie Road	8	NO2	77	103.2290657	13
Gorgie Road	8	NO2	77	104.0977142	14
Gorgie Road	8	NO2	77	104.8913377	15
Gorgie Road	8	NO2	77	105.611272	16
Gorgie Road	8	NO2	77	106.2602295	17
Gorgie Road	8	NO2	77	106.8419123	18
Gorgie Road	8	NO2	77	107.3606826	19
Gorgie Road	1	NOx	130	43.42857143	0
Gorgie Road	1	NOx	130	44.70062919	1
Gorgie Road	1	NOx	130	44.70852913	2
Gorgie Road	1	NOx	130	44.11629183	3
Gorgie Road	1	NOx	130	43.45085562	4
Gorgie Road	1	NOx	130	42.89853572	5
Gorgie Road	1	NOx	130	42.47412954	6
Gorgie Road	1	NOx	130	42.14652592	7
Gorgie Road	1	NOx	130	41.88422267	8
Gorgie Road	1	NOx	130	41.66510945	9
Gorgie Road	1	NOx	130	41.47559413	10
Gorgie Road	1	NOx	130	41.30784325	11
Gorgie Road	1	NOx	130	41.1574652	12
Gorgie Road	1	NOx	130	41.02196845	13
Gorgie Road	1	NOx	130	40.89983689	14
Gorgie Road	1	NOx	130	40.79001267	15
Gorgie Road	1	NOx	130	40.69162627	16
Gorgie Road	1	NOx	130	40.60386809	17
Gorgie Road	1	NOx	130	40.52593713	18
Gorgie Road	1	NOx	130	40.4570291	19
Gorgie Road	2	NOx	71	46.28571429	0
Gorgie Road	2	NOx	71	48.32215708	1
Gorgie Road	2	NOx	71	49.20574826	2
Gorgie Road	2	NOx	71	49.25652665	3
Gorgie Road	2	NOx	71	48.94643772	4
Gorgie Road	2	NOx	71	48.53852583	5
Gorgie Road	2	NOx	71	48.12991327	6
Gorgie Road	2	NOx	71	47.74612457	7
Gorgie Road	2	NOx	71	47.38990617	8
Gorgie Road	2	NOx	71	47.05902424	9
Gorgie Road	2	NOx	71	46.75131948	10
Gorgie Road	2	NOx	71	46.46554816	11
Gorgie Road	2	NOx	71	46.20112019	12
Gorgie Road	2	NOx	71	45.95770833	13
Gorgie Road	2	NOx	71	45.73496969	14
Gorgie Road	2	NOx	71	45.53239804	15
Gorgie Road	2	NOx	71	45.34927247	16
Gorgie Road	2	NOx	71	45.18466483	17
Gorgie Road	2	NOx	71	45.03747797	18
Gorgie Road	2	NOx	71	44.90649589	19
Gorgie Road	3	NOx	50	57.85714286	0
Gorgie Road	3	NOx	50	68.83782879	1
Gorgie Road	3	NOx	50	76.45561265	2
Gorgie Road	3	NOx	50	80.41560907	3
Gorgie Road	3	NOx	50	82.07642466	4
Gorgie Road	3	NOx	50	82.60763268	5
Gorgie Road	3	NOx	50	82.63843564	6
Gorgie Road	3	NOx	50	82.45579481	7
Gorgie Road	3	NOx	50	82.18430242	8
Gorgie Road	3	NOx	50	81.87864432	9
Gorgie Road	3	NOx	50	81.56409853	10
Gorgie Road	3	NOx	50	81.25333501	11
Gorgie Road	3	NOx	50	80.95330057	12
Gorgie Road	3	NOx	50	80.66807469	13
Gorgie Road	3	NOx	50	80.40009933	14
Gorgie Road	3	NOx	50	80.15075065	15
Gorgie Road	3	NOx	50	79.92064213	16
Gorgie Road	3	NOx	50	79.70981487	17
Gorgie Road	3	NOx	50	79.51787687	18
Gorgie Road	3	NOx	50	79.34411494	19
Gorgie Road	4	NOx	48	54.71428571	0
Gorgie Road	4	NOx	48	61.2221395	1
Gorgie Road	4	NOx	48	66.10840245	2
Gorgie Road	4	NOx	48	69.17440818	3
Gorgie Road	4	NOx	48	71.09015286	4
Gorgie Road	4	NOx	48	72.43877728	5
Gorgie Road	4	NOx	48	73.52864774	6
Gorgie Road	4	NOx	48	74.4935155	7
Gorgie Road	4	NOx	48	75.38512281	8
Gorgie Road	4	NOx	48	76.22101746	9
Gorgie Road	4	NOx	48	77.0055269	10
Gorgie Road	4	NOx	48	77.73844997	11
Gorgie Road	4	NOx	48	78.41857728	12
Gorgie Road	4	NOx	48	79.04507043	13
Gorgie Road	4	NOx	48	79.61793902	14
Gorgie Road	4	NOx	48	80.13812496	15
Gorgie Road	4	NOx	48	80.60741337	16
Gorgie Road	4	NOx	48	81.02827134	17
Gorgie Road	4	NOx	48	81.40366594	18
Gorgie Road	4	NOx	48	81.73688827	19
Gorgie Road	5	NOx	42	83.71428571	0
Gorgie Road	5	NOx	42	91.51555534	1
Gorgie Road	5	NOx	42	96.57465117	2
Gorgie Road	5	NOx	42	99.56916009	3
Gorgie Road	5	NOx	42	101.6667227	4
Gorgie Road	5	NOx	42	103.5212794	5
Gorgie Road	5	NOx	42	105.3540488	6
Gorgie Road	5	NOx	42	107.19768	7
Gorgie Road	5	NOx	42	109.0273752	8
Gorgie Road	5	NOx	42	110.8097618	9
Gorgie Road	5	NOx	42	112.5170378	10
Gorgie Road	5	NOx	42	114.1293564	11
Gorgie Road	5	NOx	42	115.6339711	12
Gorgie Road	5	NOx	42	117.0238351	13
Gorgie Road	5	NOx	42	118.2963411	14
Gorgie Road	5	NOx	42	119.4522928	15
Gorgie Road	5	NOx	42	120.4950649	16
Gorgie Road	5	NOx	42	121.4299055	17
Gorgie Road	5	NOx	42	122.2633519	18
Gorgie Road	5	NOx	42	123.0027448	19
Gorgie Road	6	NOx	57	111.7142857	0
Gorgie Road	6	NOx	57	118.4943096	1
Gorgie Road	6	NOx	57	122.7408765	2
Gorgie Road	6	NOx	57	125.8666414	3
Gorgie Road	6	NOx	57	129.0002863	4
Gorgie Road	6	NOx	57	132.4876355	5
Gorgie Road	6	NOx	57	136.2810122	6
Gorgie Road	6	NOx	57	140.235224	7
Gorgie Road	6	NOx	57	144.2154606	8
Gorgie Road	6	NOx	57	148.1200669	9
Gorgie Road	6	NOx	57	151.877851	10
Gorgie Road	6	NOx	57	155.4409535	11
Gorgie Road	6	NOx	57	158.7787739	12
Gorgie Road	6	NOx	57	161.8736283	13
Gorgie Road	6	NOx	57	164.7176957	14
Gorgie Road	6	NOx	57	167.3107613	15
Gorgie Road	6	NOx	57	169.6584304	16
Gorgie Road	6	NOx	57	171.7706451	17
Gorgie Road	6	NOx	57	173.6604246	18
Gorgie Road	6	NOx	57	175.3428015	19
Gorgie Road	7	NOx	172	249.1428571	0
Gorgie Road	7	NOx	172	265.2081671	1
Gorgie Road	7	NOx	172	274.4273342	2
Gorgie Road	7	NOx	172	279.5198818	3
Gorgie Road	7	NOx	172	283.3849181	4
Gorgie Road	7	NOx	172	287.299862	5
Gorgie Road	7	NOx	172	291.5241974	6
Gorgie Road	7	NOx	172	295.9647514	7
Gorgie Road	7	NOx	172	300.4661131	8
Gorgie Road	7	NOx	172	304.8967768	9
Gorgie Road	7	NOx	172	309.1627659	10
Gorgie Road	7	NOx	172	313.2020287	11
Gorgie Road	7	NOx	172	316.9763915	12
Gorgie Road	7	NOx	172	320.4650654	13
Gorgie Road	7	NOx	172	323.6599775	14
Gorgie Road	7	NOx	172	326.5624206	15
Gorgie Road	7	NOx	172	329.1805512	16
Gorgie Road	7	NOx	172	331.5274343	17
Gorgie Road	7	NOx	172	333.6194704	18
Gorgie Road	7	NOx	172	335.4751225	19
Gorgie Road	8	NOx	197	390.5714286	0
Gorgie Road	8	NOx	197	425.4812364	1
Gorgie Road	8	NOx	197	453.7205684	2
Gorgie Road	8	NOx	197	476.706489	3
Gorgie Road	8	NOx	197	497.3387198	4
Gorgie Road	8	NOx	197	517.2266145	5
Gorgie Road	8	NOx	197	536.8384941	6
Gorgie Road	8	NOx	197	556.1390719	7
Gorgie Road	8	NOx	197	574.9429013	8
Gorgie Road	8	NOx	197	593.0509716	9
Gorgie Road	8	NOx	197	610.2938938	10
Gorgie Road	8	NOx	197	626.5422685	11
Gorgie Road	8	NOx	197	641.7067238	12
Gorgie Road	8	NOx	197	655.7347812	13
Gorgie Road	8	NOx	197	668.6065693	14
Gorgie Road	8	NOx	197	680.3299776	15
Gorgie Road	8	NOx	197	690.9355525	16
Gorgie Road	8	NOx	197	700.4714111	17
Gorgie Road	8	NOx	197	708.9984307	18
Gorgie Road	8	NOx	197	716.5859157	19
Queen Street	1	NO	2	13.28571429	0
Queen Street	1	NO	2	16.08011633	1
Queen Street	1	NO	2	16.3827887	2
Queen Street	1	NO	2	14.97296607	3
Queen Street	1	NO	2	13.06043747	4
Queen Street	1	NO	2	11.32679974	5
Queen Street	1	NO	2	9.981516406	6
Queen Street	1	NO	2	9.0128982	7
Queen Street	1	NO	2	8.342537009	8
Queen Street	1	NO	2	7.888792006	9
Queen Street	1	NO	2	7.585664068	10
Queen Street	1	NO	2	7.384772559	11
Queen Street	1	NO	2	7.252304025	12
Queen Street	1	NO	2	7.165234338	13
Queen Street	1	NO	2	7.108123634	14
Queen Street	1	NO	2	7.070714366	15
Queen Street	1	NO	2	7.046231873	16
Queen Street	1	NO	2	7.030218625	17
Queen Street	1	NO	2	7.01974885	18
Queen Street	1	NO	2	7.012905223	19
Queen Street	2	NO	10	8.714285714	0
Queen Street	2	NO	10	9.647434068	1
Queen Street	2	NO	10	9.737733419	2
Queen Street	2	NO	10	9.426037716	3
Queen Street	2	NO	10	9.050433268	4
Queen Street	2	NO	10	8.735304386	5
Queen Street	2	NO	10	8.501281232	6
Queen Street	2	NO	10	8.336624726	7
Queen Street	2	NO	10	8.223965297	8
Queen Street	2	NO	10	8.148118676	9
Queen Street	2	NO	10	8.097568027	10
Queen Street	2	NO	10	8.064097394	11
Queen Street	2	NO	10	8.042032624	12
Queen Street	2	NO	10	8.027529708	13
Queen Street	2	NO	10	8.018016035	14
Queen Street	2	NO	10	8.011783571	15
Queen Street	2	NO	10	8.007704319	16
Queen Street	2	NO	10	8.005035988	17
Queen Street	2	NO	10	8.003291274	18
Queen Street	2	NO	10	8.002150781	19
Queen Street	3	NO	51	9.428571429	0
Queen Street	3	NO	51	9.926663395	1
Queen Street	3	NO	51	9.772546448	2
Queen Street	3	NO	51	9.599447327	3
Queen Street	3	NO	51	9.579814403	4
Queen Street	3	NO	51	9.649408805	5
Queen Street	3	NO	51	9.738592128	6
Queen Street	3	NO	51	9.816189372	7
Queen Street	3	NO	51	9.874789803	8
Queen Street	3	NO	51	9.916199612	9
Queen Street	3	NO	51	9.944473041	10
Queen Street	3	NO	51	9.963419107	11
Queen Street	3	NO	51	9.975981793	12
Queen Street	3	NO	51	9.984261493	13
Queen Street	3	NO	51	9.98969914	14
Queen Street	3	NO	51	9.993262841	15
Queen Street	3	NO	51	9.995595506	16
Queen Street	3	NO	51	9.997121246	17
Queen Street	3	NO	51	9.998118752	18
Queen Street	3	NO	51	9.99877073	19
Queen Street	4	NO	21	10.57142857	0
Queen Street	4	NO	21	10.29059262	1
Queen Street	4	NO	21	9.15132374	2
Queen Street	4	NO	21	8.114504082	3
Queen Street	4	NO	21	7.490900673	4
Queen Street	4	NO	21	7.186701889	5
Queen Street	4	NO	21	7.056666488	6
Queen Street	4	NO	21	7.007323359	7
Queen Street	4	NO	21	6.991731708	8
Queen Street	4	NO	21	6.988957744	9
Queen Street	4	NO	21	6.990368887	10
Queen Street	4	NO	21	6.992676182	11
Queen Street	4	NO	21	6.994775595	12
Queen Street	4	NO	21	6.996399527	13
Queen Street	4	NO	21	6.997567941	14
Queen Street	4	NO	21	6.99837706	15
Queen Street	4	NO	21	6.998925177	16
Queen Street	4	NO	21	6.999291591	17
Queen Street	4	NO	21	6.999534527	18
Queen Street	4	NO	21	6.999694759	19
Queen Street	5	NO	41	25.85714286	0
Queen Street	5	NO	41	21.54244493	1
Queen Street	5	NO	41	15.04387743	2
Queen Street	5	NO	41	9.907937963	3
Queen Street	5	NO	41	6.892571013	4
Queen Street	5	NO	41	5.365807636	5
Queen Street	5	NO	41	4.643785269	6
Queen Street	5	NO	41	4.309944076	7
Queen Street	5	NO	41	4.154712788	8
Queen Street	5	NO	41	4.080742175	9
Queen Street	5	NO	41	4.044149559	10
Queen Street	5	NO	41	4.025212857	11
Queen Street	5	NO	41	4.014938836	12
Queen Street	5	NO	41	4.009111554	13
Queen Street	5	NO	41	4.005678171	14
Queen Street	5	NO	41	4.003593145	15
Queen Street	5	NO	41	4.002297947	16
Queen Street	5	NO	41	4.001480213	17
Queen Street	5	NO	41	4.000958069	18
Queen Street	5	NO	41	4.000622094	19
Queen Street	6	NO	25	44.71428571	0
Queen Street	6	NO	25	39.00173988	1
Queen Street	6	NO	25	28.72161409	2
Queen Street	6	NO	25	20.19449216	3
Queen Street	6	NO	25	15.06629457	4
Queen Street	6	NO	25	12.42702955	5
Queen Street	6	NO	25	11.16141988	6
Queen Street	6	NO	25	10.56816275	7
Queen Street	6	NO	25	10.28828228	8
Queen Street	6	NO	25	10.15283663	9
Queen Street	6	NO	25	10.0847534	10
Queen Street	6	NO	25	10.04896708	11
Queen Street	6	NO	25	10.02927547	12
Queen Street	6	NO	25	10.01797362	13
Queen Street	6	NO	25	10.01125264	14
Queen Street	6	NO	25	10.00714306	15
Queen Street	6	NO	25	10.00457783	16
Queen Street	6	NO	25	10.00295286	17
Queen Street	6	NO	25	10.00191296	18
Queen Street	6	NO	25	10.00124285	19
Queen Street	7	NO	162	113.2857143	0
Queen Street	7	NO	162	104.1652177	1
Queen Street	7	NO	162	83.89348089	2
Queen Street	7	NO	162	65.92598285	3
Queen Street	7	NO	162	54.48503949	4
Queen Street	7	NO	162	48.18632367	5
Queen Street	7	NO	162	44.89676317	6
Queen Street	7	NO	162	43.18224262	7
Queen Street	7	NO	162	42.2661314	8
Queen Street	7	NO	162	41.75842326	9
Queen Street	7	NO	162	41.46611282	10
Queen Street	7	NO	162	41.29201274	11
Queen Street	7	NO	162	41.18545773	12
Queen Street	7	NO	162	41.1188997	13
Queen Street	7	NO	162	41.0767156	14
Queen Street	7	NO	162	41.04970893	15
Queen Street	7	NO	162	41.03230054	16
Queen Street	7	NO	162	41.02102778	17
Queen Street	7	NO	162	41.01370596	18
Queen Street	7	NO	162	41.00894079	19
Queen Street	8	NO	170	191	0
Queen Street	8	NO	170	175.6729857	1
Queen Street	8	NO	170	135.9394361	2
Queen Street	8	NO	170	99.77619253	3
Queen Street	8	NO	170	76.76728695	4
Queen Street	8	NO	170	64.37624974	5
Queen Street	8	NO	170	58.18147507	6
Queen Street	8	NO	170	55.1561903	7
Queen Street	8	NO	170	53.66864457	8
Queen Street	8	NO	170	52.91822519	9
Queen Street	8	NO	170	52.52551095	10
Queen Street	8	NO	170	52.31131347	11
Queen Street	8	NO	170	52.18964384	12
Queen Street	8	NO	170	52.11800407	13
Queen Street	8	NO	170	52.07456735	14
Queen Street	8	NO	170	52.04763276	15
Queen Street	8	NO	170	52.0306547	16
Queen Street	8	NO	170	52.01982797	17
Queen Street	8	NO	170	52.0128685	18
Queen Street	8	NO	170	52.00837058	19
Queen Street	1	NO2	36	35.71428571	0
Queen Street	1	NO2	36	38.20173277	1
Queen Street	1	NO2	36	39.68115295	2
Queen Street	1	NO2	36	40.09125205	3
Queen Street	1	NO2	36	39.89302571	4
Queen Street	1	NO2	36	39.48938103	5
Queen Street	1	NO2	36	39.08807309	6
Queen Street	1	NO2	36	38.76191911	7
Queen Street	1	NO2	36	38.52016392	8
Queen Street	1	NO2	36	38.34958954	9
Queen Street	1	NO2	36	38.23263189	10
Queen Street	1	NO2	36	38.15382084	11
Queen Street	1	NO2	36	38.10129042	12
Queen Street	1	NO2	36	38.06651989	13
Queen Street	1	NO2	36	38.04360818	14
Queen Street	1	NO2	36	38.0285549	15
Queen Street	1	NO2	36	38.01868366	16
Queen Street	1	NO2	36	38.0122187	17
Queen Street	1	NO2	36	38.00798811	18
Queen Street	1	NO2	36	38.00522117	19
Queen Street	2	NO2	36	35.28571429	0
Queen Street	2	NO2	36	38.11812502	1
Queen Street	2	NO2	36	40.07898253	2
Queen Street	2	NO2	36	41.06056415	3
Queen Street	2	NO2	36	41.40562783	4
Queen Street	2	NO2	36	41.4452032	5
Queen Street	2	NO2	36	41.37415397	6
Queen Street	2	NO2	36	41.28166746	7
Queen Street	2	NO2	36	41.20036212	8
Queen Street	2	NO2	36	41.13800906	9
Queen Street	2	NO2	36	41.09324089	10
Queen Street	2	NO2	36	41.06224462	11
Queen Street	2	NO2	36	41.04123863	12
Queen Street	2	NO2	36	41.02718909	13
Queen Street	2	NO2	36	41.01786975	14
Queen Street	2	NO2	36	41.01172068	15
Queen Street	2	NO2	36	41.00767726	16
Queen Street	2	NO2	36	41.00502433	17
Queen Street	2	NO2	36	41.00328625	18
Queen Street	2	NO2	36	41.00214862	19
Queen Street	3	NO2	40	33.28571429	0
Queen Street	3	NO2	40	36.84883374	1
Queen Street	3	NO2	40	39.17631454	2
Queen Street	3	NO2	40	40.48377991	3
Queen Street	3	NO2	40	41.18448018	4
Queen Street	3	NO2	40	41.55511658	5
Queen Street	3	NO2	40	41.75148373	6
Queen Street	3	NO2	40	41.85712441	7
Queen Street	3	NO2	40	41.91544986	8
Queen Street	3	NO2	40	41.94866912	9
Queen Street	3	NO2	40	41.9681847	10
Queen Street	3	NO2	40	41.97996764	11
Queen Street	3	NO2	40	41.98724127	12
Queen Street	3	NO2	40	41.99180778	13
Queen Street	3	NO2	40	41.99471026	14
Queen Street	3	NO2	40	41.99657127	15
Queen Street	3	NO2	40	41.99777176	16
Queen Street	3	NO2	40	41.99854938	17
Queen Street	3	NO2	40	41.99905451	18
Queen Street	3	NO2	40	41.99938326	19
Queen Street	4	NO2	40	34.85714286	0
Queen Street	4	NO2	40	36.83977296	1
Queen Street	4	NO2	40	37.41284293	2
Queen Street	4	NO2	40	37.38076567	3
Queen Street	4	NO2	40	37.24875288	4
Queen Street	4	NO2	40	37.15017089	5
Queen Street	4	NO2	40	37.09055127	6
Queen Street	4	NO2	40	37.05571311	7
Queen Street	4	NO2	40	37.03499583	8
Queen Street	4	NO2	40	37.02232461	9
Queen Street	4	NO2	40	37.01438565	10
Queen Street	4	NO2	40	37.00932686	11
Queen Street	4	NO2	40	37.00606859	12
Queen Street	4	NO2	40	37.0039565	13
Queen Street	4	NO2	40	37.00258233	14
Queen Street	4	NO2	40	37.00168642	15
Queen Street	4	NO2	40	37.00110165	16
Queen Street	4	NO2	40	37.00071976	17
Queen Street	4	NO2	40	37.00047028	18
Queen Street	4	NO2	40	37.00030727	19
Queen Street	5	NO2	46	34.28571429	0
Queen Street	5	NO2	46	36.51596332	1
Queen Street	5	NO2	46	36.65879122	2
Queen Street	5	NO2	46	36.24411516	3
Queen Street	5	NO2	46	35.96401487	4
Queen Street	5	NO2	46	35.86556529	5
Queen Street	5	NO2	46	35.86026878	6
Queen Street	5	NO2	46	35.88629302	7
Queen Street	5	NO2	46	35.91635493	8
Queen Street	5	NO2	46	35.94149829	9
Queen Street	5	NO2	46	35.96019757	10
Queen Street	5	NO2	46	35.97334634	11
Queen Street	5	NO2	46	35.98231883	12
Queen Street	5	NO2	46	35.98833777	13
Queen Street	5	NO2	46	35.99233482	14
Queen Street	5	NO2	46	35.99497298	15
Queen Street	5	NO2	46	35.9967077	16
Queen Street	5	NO2	46	35.99784568	17
Queen Street	5	NO2	46	35.9985911	18
Queen Street	5	NO2	46	35.99907892	19
Queen Street	6	NO2	44	39.71428571	0
Queen Street	6	NO2	44	42.68411257	1
Queen Street	6	NO2	44	43.71573217	2
Queen Street	6	NO2	44	44.16557489	3
