#Location	Time	Pollutant	Actual	Estimated	Power
St Johns Road	7	NO	182	124.6439983	6
St Johns Road	7	NO	182	120.6705349	7
St Johns Road	7	NO	182	116.622309	8
St Johns Road	7	NO	182	112.6850476	9
St Johns Road	7	NO	182	108.9437306	10
St Johns Road	7	NO	182	105.4335009	11
St Johns Road	7	NO	182	102.1654208	12
St Johns Road	7	NO	182	99.13892628	13
St Johns Road	7	NO	182	96.34771567	14
St Johns Road	7	NO	182	93.78252678	15
St Johns Road	7	NO	182	91.43247972	16
St Johns Road	7	NO	182	89.28577501	17
St Johns Road	7	NO	182	87.33010587	18
St Johns Road	7	NO	182	85.5529413	19
St Johns Road	8	NO	429	154	0
St Johns Road	8	NO	429	157.9171701	1
St Johns Road	8	NO	429	162.501313	2
St Johns Road	8	NO	429	164.754617	3
St Johns Road	8	NO	429	163.8719547	4
St Johns Road	8	NO	429	160.5628163	5
St Johns Road	8	NO	429	155.840957	6
St Johns Road	8	NO	429	150.4778996	7
St Johns Road	8	NO	429	144.9456169	8
St Johns Road	8	NO	429	139.5040589	9
St Johns Road	8	NO	429	134.2875682	10
St Johns Road	8	NO	429	129.3613467	11
St Johns Road	8	NO	429	124.7535127	12
St Johns Road	8	NO	429	120.4722394	13
St Johns Road	8	NO	429	116.5147156	14
St Johns Road	8	NO	429	112.8718532	15
St Johns Road	8	NO	429	109.5308364	16
St Johns Road	8	NO	429	106.476587	17
St Johns Road	8	NO	429	103.6926792	18
St Johns Road	8	NO	429	101.1619626	19
St Johns Road	1	NO2	31	36.42857143	0
St Johns Road	1	NO2	31	39.95556288	1
St Johns Road	1	NO2	31	43.38184086	2
St Johns Road	1	NO2	31	46.16262974	3
St Johns Road	1	NO2	31	48.16308618	4
St Johns Road	1	NO2	31	49.52813086	5
St Johns Road	1	NO2	31	50.46119039	6
St Johns Road	1	NO2	31	51.12259975	7
St Johns Road	1	NO2	31	51.61664002	8
St Johns Road	1	NO2	31	52.00604424	9
St Johns Road	1	NO2	31	52.32749822	10
St Johns Road	1	NO2	31	52.60238092	11
St Johns Road	1	NO2	31	52.84329134	12
St Johns Road	1	NO2	31	53.05782665	13
St Johns Road	1	NO2	31	53.25073379	14
St Johns Road	1	NO2	31	53.42513063	15
St Johns Road	1	NO2	31	53.58319977	16
St Johns Road	1	NO2	31	53.72658297	17
St Johns Road	1	NO2	31	53.85660467	18
St Johns Road	1	NO2	31	53.97439769	19
St Johns Road	2	NO2	33	35.71428571	0
St Johns Road	2	NO2	33	38.01347362	1
St Johns Road	2	NO2	33	40.09303267	2
St Johns Road	2	NO2	33	41.7103302	3
St Johns Road	2	NO2	33	42.86274525	4
St Johns Road	2	NO2	33	43.66931575	5
St Johns Road	2	NO2	33	44.25194584	6
St Johns Road	2	NO2	33	44.69599896	7
St Johns Road	2	NO2	33	45.05335039	8
St Johns Road	2	NO2	33	45.35398965	9
St Johns Road	2	NO2	33	45.6151408	10
St Johns Road	2	NO2	33	45.84685306	11
St Johns Road	2	NO2	33	46.05516616	12
St Johns Road	2	NO2	33	46.24386704	13
St Johns Road	2	NO2	33	46.41546746	14
St Johns Road	2	NO2	33	46.57175318	15
St Johns Road	2	NO2	33	46.71409466	16
St Johns Road	2	NO2	33	46.84362275	17
St Johns Road	2	NO2	33	46.96132697	18
St Johns Road	2	NO2	33	47.06810912	19
St Johns Road	3	NO2	46	32.42857143	0
St Johns Road	3	NO2	46	34.70110467	1
St Johns Road	3	NO2	46	36.42144279	2
St Johns Road	3	NO2	46	37.50303263	3
St Johns Road	3	NO2	46	38.10841585	4
St Johns Road	3	NO2	46	38.4412548	5
St Johns Road	3	NO2	46	38.64040807	6
St Johns Road	3	NO2	46	38.77870174	7
St Johns Road	3	NO2	46	38.88933625	8
St Johns Road	3	NO2	46	38.9862037	9
St Johns Road	3	NO2	46	39.07474717	10
St Johns Road	3	NO2	46	39.15696517	11
St Johns Road	3	NO2	46	39.23354721	12
St Johns Road	3	NO2	46	39.30473906	13
St Johns Road	3	NO2	46	39.37067489	14
St Johns Road	3	NO2	46	39.43149364	15
St Johns Road	3	NO2	46	39.48737151	16
St Johns Road	3	NO2	46	39.53852363	17
St Johns Road	3	NO2	46	39.58519589	18
St Johns Road	3	NO2	46	39.62765488	19
St Johns Road	4	NO2	48	33.71428571	0
St Johns Road	4	NO2	48	35.80916646	1
St Johns Road	4	NO2	48	37.4422911	2
St Johns Road	4	NO2	48	38.45603339	3
St Johns Road	4	NO2	48	38.96545941	4
St Johns Road	4	NO2	48	39.164485	5
St Johns Road	4	NO2	48	39.2017458	6
St Johns Road	4	NO2	48	39.16327457	7
St Johns Road	4	NO2	48	39.0927032	8
St Johns Road	4	NO2	48	39.01078149	9
St Johns Road	4	NO2	48	38.92705933	10
St Johns Road	4	NO2	48	38.84583014	11
St Johns Road	4	NO2	48	38.76895508	12
St Johns Road	4	NO2	48	38.69716776	13
St Johns Road	4	NO2	48	38.63067227	14
St Johns Road	4	NO2	48	38.56941828	15
St Johns Road	4	NO2	48	38.51322947	16
St Johns Road	4	NO2	48	38.46186541	17
St Johns Road	4	NO2	48	38.41505281	18
St Johns Road	4	NO2	48	38.37250268	19
St Johns Road	5	NO2	48	34	0
St Johns Road	5	NO2	48	36.80237915	1
St Johns Road	5	NO2	48	38.77491505	2
St Johns Road	5	NO2	48	39.74037683	3
St Johns Road	5	NO2	48	39.94510005	4
St Johns Road	5	NO2	48	39.72317944	5
St Johns Road	5	NO2	48	39.31032757	6
St Johns Road	5	NO2	48	38.83315032	7
St Johns Road	5	NO2	48	38.35021834	8
St Johns Road	5	NO2	48	37.88593172	9
St Johns Road	5	NO2	48	37.44930676	10
St Johns Road	5	NO2	48	37.04288776	11
St Johns Road	5	NO2	48	36.66664131	12
St Johns Road	5	NO2	48	36.31956417	13
St Johns Road	5	NO2	48	36.00031179	14
St Johns Road	5	NO2	48	35.70742829	15
St Johns Road	5	NO2	48	35.43942399	16
St Johns Road	5	NO2	48	35.19480066	17
St Johns Road	5	NO2	48	34.97206248	18
St Johns Road	5	NO2	48	34.76972521	19
St Johns Road	6	NO2	54	38.28571429	0
St Johns Road	6	NO2	54	41.7238005	1
St Johns Road	6	NO2	54	44.11545828	2
St Johns Road	6	NO2	54	45.28433617	3
St Johns Road	6	NO2	54	45.53414696	4
St Johns Road	6	NO2	54	45.25969697	5
St Johns Road	6	NO2	54	44.73889985	6
St Johns Road	6	NO2	54	44.12382885	7
St Johns Road	6	NO2	54	43.48821309	8
St Johns Road	6	NO2	54	42.86579216	9
St Johns Road	6	NO2	54	42.2715285	10
St Johns Road	6	NO2	54	41.71179099	11
St Johns Road	6	NO2	54	41.18896477	12
St Johns Road	6	NO2	54	40.70350199	13
St Johns Road	6	NO2	54	40.25484514	14
St Johns Road	6	NO2	54	39.84186127	15
St Johns Road	6	NO2	54	39.46306377	16
St Johns Road	6	NO2	54	39.11674026	17
St Johns Road	6	NO2	54	38.80103675	18
St Johns Road	6	NO2	54	38.51401939	19
St Johns Road	7	NO2	69	54.57142857	0
St Johns Road	7	NO2	69	60.92473063	1
St Johns Road	7	NO2	69	65.97489054	2
St Johns Road	7	NO2	69	69.20440474	3
St Johns Road	7	NO2	69	70.88277743	4
St Johns Road	7	NO2	69	71.54782428	5
St Johns Road	7	NO2	69	71.64070123	6
St Johns Road	7	NO2	69	71.43553341	7
St Johns Road	7	NO2	69	71.08447117	8
St Johns Road	7	NO2	69	70.66887104	9
St Johns Road	7	NO2	69	70.23216338	10
St Johns Road	7	NO2	69	69.79777593	11
St Johns Road	7	NO2	69	69.37841786	12
St Johns Road	7	NO2	69	68.98087687	13
St Johns Road	7	NO2	69	68.60855286	14
St Johns Road	7	NO2	69	68.26284256	15
St Johns Road	7	NO2	69	67.94392685	16
St Johns Road	7	NO2	69	67.65123714	17
St Johns Road	7	NO2	69	67.38374294	18
St Johns Road	7	NO2	69	67.14013587	19
St Johns Road	8	NO2	111	72.85714286	0
St Johns Road	8	NO2	111	80.98063945	1
St Johns Road	8	NO2	111	87.37911075	2
St Johns Road	8	NO2	111	91.31354586	3
St Johns Road	8	NO2	111	93.11513092	4
St Johns Road	8	NO2	111	93.50819226	5
St Johns Road	8	NO2	111	93.10456852	6
St Johns Road	8	NO2	111	92.29314008	7
St Johns Road	8	NO2	111	91.29403019	8
St Johns Road	8	NO2	111	90.22682873	9
St Johns Road	8	NO2	111	89.15602104	10
