#Location	Time	Pollutant	Actual	Estimated	Pass	Distance
St Johns Road	1	NO	6	46.42141583	10	4096
St Johns Road	1	NO	6	49.8041282	10	8192
St Johns Road	1	NO	6	46.81834402	10	16384
St Johns Road	1	NO	6	35.30954734	10	32768
St Johns Road	1	NO	6	24.74768173	10	65536
St Johns Road	1	NO	6	17.59378857	10	131072
St Johns Road	1	NO	6	14.37255584	10	262144
St Johns Road	1	NO	6	13.26998689	10	524288
St Johns Road	1	NO	6	0	11	1
St Johns Road	1	NO	6	45.09205834	11	1024
St Johns Road	1	NO	6	46.20215586	11	2048
St Johns Road	1	NO	6	46.42016159	11	4096
St Johns Road	1	NO	6	49.8792268	11	8192
St Johns Road	1	NO	6	47.62572365	11	16384
St Johns Road	1	NO	6	36.12385549	11	32768
St Johns Road	1	NO	6	25.35590829	11	65536
St Johns Road	1	NO	6	17.91121286	11	131072
St Johns Road	1	NO	6	14.47052535	11	262144
St Johns Road	1	NO	6	13.29038962	11	524288
St Johns Road	1	NO	6	0	12	1
St Johns Road	1	NO	6	45.09205834	12	1024
St Johns Road	1	NO	6	46.20215577	12	2048
St Johns Road	1	NO	6	46.41925465	12	4096
St Johns Road	1	NO	6	49.92002546	12	8192
St Johns Road	1	NO	6	48.31463746	12	16384
St Johns Road	1	NO	6	36.87456057	12	32768
St Johns Road	1	NO	6	25.91732389	12	65536
St Johns Road	1	NO	6	18.2196244	12	131072
St Johns Road	1	NO	6	14.56846904	12	262144
St Johns Road	1	NO	6	13.31122081	12	524288
St Johns Road	1	NO	6	0	13	1
St Johns Road	1	NO	6	45.09205834	13	1024
St Johns Road	1	NO	6	46.20215573	13	2048
St Johns Road	1	NO	6	46.41861725	13	4096
St Johns Road	1	NO	6	49.93988688	13	8192
St Johns Road	1	NO	6	48.90238073	13	16384
St Johns Road	1	NO	6	37.5728732	13	32768
St Johns Road	1	NO	6	26.4368787	13	65536
St Johns Road	1	NO	6	18.51919927	13	131072
St Johns Road	1	NO	6	14.66628426	13	262144
St Johns Road	1	NO	6	13.33244739	13	524288
St Johns Road	1	NO	6	0	14	1
St Johns Road	1	NO	6	45.09205834	14	1024
St Johns Road	1	NO	6	46.20215572	14	2048
St Johns Road	1	NO	6	46.41817477	14	4096
St Johns Road	1	NO	6	49.94721327	14	8192
St Johns Road	1	NO	6	49.40357035	14	16384
St Johns Road	1	NO	6	38.22716678	14	32768
St Johns Road	1	NO	6	26.91897628	14	65536
St Johns Road	1	NO	6	18.81014151	14	131072
St Johns Road	1	NO	6	14.76388356	14	262144
