#Location	Time	Pollutant	Actual	Estimated	Pass	Distance
St Johns Road	1	NO2	31	46.383048	17	65536
St Johns Road	1	NO2	31	41.07242794	17	131072
St Johns Road	1	NO2	31	37.88953974	17	262144
St Johns Road	1	NO2	31	36.80364518	17	524288
St Johns Road	1	NO2	31	0	18	1
St Johns Road	1	NO2	31	53.09348158	18	1024
St Johns Road	1	NO2	31	53.38126354	18	2048
St Johns Road	1	NO2	31	53.18230694	18	4096
St Johns Road	1	NO2	31	54.44292733	18	8192
St Johns Road	1	NO2	31	54.47634109	18	16384
St Johns Road	1	NO2	31	51.09552295	18	32768
St Johns Road	1	NO2	31	46.59062371	18	65536
St Johns Road	1	NO2	31	41.25488125	18	131072
St Johns Road	1	NO2	31	37.95159598	18	262144
St Johns Road	1	NO2	31	36.81314651	18	524288
St Johns Road	1	NO2	31	0	19	1
St Johns Road	1	NO2	31	53.09348158	19	1024
St Johns Road	1	NO2	31	53.38126354	19	2048
St Johns Road	1	NO2	31	53.18228833	19	4096
St Johns Road	1	NO2	31	54.44153222	19	8192
St Johns Road	1	NO2	31	54.55143522	19	16384
St Johns Road	1	NO2	31	51.25358572	19	32768
St Johns Road	1	NO2	31	46.78184221	19	65536
St Johns Road	1	NO2	31	41.43244552	19	131072
St Johns Road	1	NO2	31	38.01384048	19	262144
St Johns Road	1	NO2	31	36.82297106	19	524288
St Johns Road	1	NO2	31	0	20	1
St Johns Road	1	NO2	31	53.09348158	20	1024
St Johns Road	1	NO2	31	53.38126354	20	2048
St Johns Road	1	NO2	31	53.18227555	20	4096
St Johns Road	1	NO2	31	54.4400881	20	8192
St Johns Road	1	NO2	31	54.61532809	20	16384
St Johns Road	1	NO2	31	51.4036148	20	32768
St Johns Road	1	NO2	31	46.95835727	20	65536
St Johns Road	1	NO2	31	41.60519362	20	131072
St Johns Road	1	NO2	31	38.07622361	20	262144
St Johns Road	1	NO2	31	36.83310577	20	524288
St Johns Road	1	NO2	31	0	21	1
St Johns Road	1	NO2	31	53.09348158	21	1024
St Johns Road	1	NO2	31	53.38126354	21	2048
St Johns Road	1	NO2	31	53.18226676	21	4096
St Johns Road	1	NO2	31	54.4386872	21	8192
St Johns Road	1	NO2	31	54.6696264	21	16384
St Johns Road	1	NO2	31	51.54643883	21	32768
St Johns Road	1	NO2	31	47.12165436	21	65536
St Johns Road	1	NO2	31	41.7732078	21	131072
St Johns Road	1	NO2	31	38.13870009	21	262144
St Johns Road	1	NO2	31	36.8435382	21	524288
St Johns Road	1	NO2	31	0	22	1
St Johns Road	1	NO2	31	53.09348158	22	1024
St Johns Road	1	NO2	31	53.38126354	22	2048
St Johns Road	1	NO2	31	53.18226072	22	4096
St Johns Road	1	NO2	31	54.43737838	22	8192
St Johns Road	1	NO2	31	54.71570904	22	16384
St Johns Road	1	NO2	31	51.68271106	22	32768
St Johns Road	1	NO2	31	47.27306671	22	65536
St Johns Road	1	NO2	31	41.93657764	22	131072
St Johns Road	1	NO2	31	38.20122861	22	262144
St Johns Road	1	NO2	31	36.85425648	22	524288
St Johns Road	1	NO2	31	0	23	1
St Johns Road	1	NO2	31	53.09348158	23	1024
St Johns Road	1	NO2	31	53.38126354	23	2048
St Johns Road	1	NO2	31	53.18225657	23	4096
St Johns Road	1	NO2	31	54.43618414	23	8192
St Johns Road	1	NO2	31	54.75475945	23	16384
St Johns Road	1	NO2	31	51.81295572	23	32768
St Johns Road	1	NO2	31	47.41379006	23	65536
St Johns Road	1	NO2	31	42.09539834	23	131072
St Johns Road	1	NO2	31	38.26377137	23	262144
St Johns Road	1	NO2	31	36.86524929	23	524288
St Johns Road	1	NO2	31	0	24	1
St Johns Road	1	NO2	31	53.09348158	24	1024
St Johns Road	1	NO2	31	53.38126354	24	2048
St Johns Road	1	NO2	31	53.18225371	24	4096
St Johns Road	1	NO2	31	54.43511135	24	8192
St Johns Road	1	NO2	31	54.78779325	24	16384
St Johns Road	1	NO2	31	51.93760158	24	32768
St Johns Road	1	NO2	31	47.54489633	24	65536
St Johns Road	1	NO2	31	42.24976928	24	131072
St Johns Road	1	NO2	31	38.32629377	24	262144
St Johns Road	1	NO2	31	36.87650581	24	524288
St Johns Road	1	NO2	31	0	25	1
St Johns Road	1	NO2	31	53.09348158	25	1024
St Johns Road	1	NO2	31	53.38126354	25	2048
St Johns Road	1	NO2	31	53.18225175	25	4096
St Johns Road	1	NO2	31	54.43415788	25	8192
St Johns Road	1	NO2	31	54.81568198	25	16384
St Johns Road	1	NO2	31	52.05700648	25	32768
St Johns Road	1	NO2	31	47.66734604	25	65536
St Johns Road	1	NO2	31	42.3997929	25	131072
St Johns Road	1	NO2	31	38.38876408	25	262144
St Johns Road	1	NO2	31	36.88801572	25	524288
St Johns Road	2	NO2	33	0	0	1
St Johns Road	2	NO2	33	44.10956759	0	1024
St Johns Road	2	NO2	33	42.67840732	0	2048
St Johns Road	2	NO2	33	40.90975098	0	4096
St Johns Road	2	NO2	33	39.01707089	0	8192
St Johns Road	2	NO2	33	37.55472355	0	16384
St Johns Road	2	NO2	33	36.67582774	0	32768
St Johns Road	2	NO2	33	36.20389685	0	65536
St Johns Road	2	NO2	33	35.9610646	0	131072
St Johns Road	2	NO2	33	35.83813583	0	262144
St Johns Road	2	NO2	33	35.77632167	0	524288
St Johns Road	2	NO2	33	0	1	1
St Johns Road	2	NO2	33	45.45129746	1	1024
St Johns Road	2	NO2	33	45.32951258	1	2048
St Johns Road	2	NO2	33	44.03686357	1	4096
St Johns Road	2	NO2	33	42.32969633	1	8192
St Johns Road	2	NO2	33	40.51703192	1	16384
St Johns Road	2	NO2	33	38.66243725	1	32768
St Johns Road	2	NO2	33	37.29941513	1	65536
St Johns Road	2	NO2	33	36.5216943	1	131072
St Johns Road	2	NO2	33	36.11929706	1	262144
St Johns Road	2	NO2	33	35.9167725	1	524288
St Johns Road	2	NO2	33	0	2	1
St Johns Road	2	NO2	33	45.45256284	2	1024
St Johns Road	2	NO2	33	45.45157714	2	2048
St Johns Road	2	NO2	33	44.82482939	2	4096
St Johns Road	2	NO2	33	43.64288075	2	8192
St Johns Road	2	NO2	33	41.84674596	2	16384
St Johns Road	2	NO2	33	39.72483524	2	32768
St Johns Road	2	NO2	33	37.75598582	2	65536
St Johns Road	2	NO2	33	36.61739807	2	131072
St Johns Road	2	NO2	33	36.10985125	2	262144
St Johns Road	2	NO2	33	35.89452758	2	524288
St Johns Road	2	NO2	33	0	3	1
St Johns Road	2	NO2	33	45.45256618	3	1024
St Johns Road	2	NO2	33	45.45796981	3	2048
St Johns Road	2	NO2	33	45.0523689	3	4096
St Johns Road	2	NO2	33	44.36192034	3	8192
St Johns Road	2	NO2	33	42.65694391	3	16384
St Johns Road	2	NO2	33	40.52248886	3	32768
St Johns Road	2	NO2	33	38.20230451	3	65536
St Johns Road	2	NO2	33	36.73512841	3	131072
St Johns Road	2	NO2	33	36.10998372	3	262144
St Johns Road	2	NO2	33	35.87518224	3	524288
St Johns Road	2	NO2	33	0	4	1
St Johns Road	2	NO2	33	45.45256636	4	1024
St Johns Road	2	NO2	33	45.45817008	4	2048
St Johns Road	2	NO2	33	45.11413043	4	4096
St Johns Road	2	NO2	33	44.78159331	4	8192
St Johns Road	2	NO2	33	43.20854354	4	16384
St Johns Road	2	NO2	33	41.12330183	4	32768
St Johns Road	2	NO2	33	38.61887914	4	65536
St Johns Road	2	NO2	33	36.86686026	4	131072
St Johns Road	2	NO2	33	36.11817167	4	262144
St Johns Road	2	NO2	33	35.85850876	4	524288
St Johns Road	2	NO2	33	0	5	1
St Johns Road	2	NO2	33	45.45256638	5	1024
St Johns Road	2	NO2	33	45.45812052	5	2048
St Johns Road	2	NO2	33	45.12707604	5	4096
St Johns Road	2	NO2	33	45.02970835	5	8192
St Johns Road	2	NO2	33	43.61512321	5	16384
St Johns Road	2	NO2	33	41.58278395	5	32768
St Johns Road	2	NO2	33	38.99872217	5	65536
St Johns Road	2	NO2	33	37.00686998	5	131072
St Johns Road	2	NO2	33	36.13311994	5	262144
St Johns Road	2	NO2	33	35.84429697	5	524288
St Johns Road	2	NO2	33	0	6	1
St Johns Road	2	NO2	33	45.45256638	6	1024
St Johns Road	2	NO2	33	45.45809415	6	2048
St Johns Road	2	NO2	33	45.12672871	6	4096
St Johns Road	2	NO2	33	45.17432812	6	8192
St Johns Road	2	NO2	33	43.93191021	6	16384
St Johns Road	2	NO2	33	41.94129758	6	32768
St Johns Road	2	NO2	33	39.34094754	6	65536
St Johns Road	2	NO2	33	37.15109767	6	131072
St Johns Road	2	NO2	33	36.15372722	6	262144
St Johns Road	2	NO2	33	35.83235285	6	524288
St Johns Road	2	NO2	33	0	7	1
St Johns Road	2	NO2	33	45.45256638	7	1024
St Johns Road	2	NO2	33	45.4580835	7	2048
St Johns Road	2	NO2	33	45.12359114	7	4096
St Johns Road	2	NO2	33	45.25553584	7	8192
St Johns Road	2	NO2	33	44.18757088	7	16384
St Johns Road	2	NO2	33	42.22733207	7	32768
St Johns Road	2	NO2	33	39.64747315	7	65536
St Johns Road	2	NO2	33	37.29668482	7	131072
St Johns Road	2	NO2	33	36.17905731	7	262144
St Johns Road	2	NO2	33	35.82249737	7	524288
St Johns Road	2	NO2	33	0	8	1
St Johns Road	2	NO2	33	45.45256638	8	1024
St Johns Road	2	NO2	33	45.45807934	8	2048
St Johns Road	2	NO2	33	45.12052569	8	4096
St Johns Road	2	NO2	33	45.29795085	8	8192
St Johns Road	2	NO2	33	44.39817524	8	16384
St Johns Road	2	NO2	33	42.46091911	8	32768
St Johns Road	2	NO2	33	39.92134937	8	65536
St Johns Road	2	NO2	33	37.44163921	8	131072
St Johns Road	2	NO2	33	36.20831459	8	262144
St Johns Road	2	NO2	33	35.81456526	8	524288
St Johns Road	2	NO2	33	0	9	1
St Johns Road	2	NO2	33	45.45256638	9	1024
St Johns Road	2	NO2	33	45.45807772	9	2048
St Johns Road	2	NO2	33	45.11813379	9	4096
St Johns Road	2	NO2	33	45.31691534	9	8192
St Johns Road	2	NO2	33	44.57359715	9	16384
St Johns Road	2	NO2	33	42.65619585	9	32768
St Johns Road	2	NO2	33	40.16593399	9	65536
St Johns Road	2	NO2	33	37.58459217	9	131072
St Johns Road	2	NO2	33	36.24082316	9	262144
St Johns Road	2	NO2	33	35.80840401	9	524288
St Johns Road	2	NO2	33	0	10	1
St Johns Road	2	NO2	33	45.45256638	10	1024
St Johns Road	2	NO2	33	45.45807709	10	2048
St Johns Road	2	NO2	33	45.11640051	10	4096
St Johns Road	2	NO2	33	45.32201147	10	8192
St Johns Road	2	NO2	33	44.72050097	10	16384
St Johns Road	2	NO2	33	42.82319011	10	32768
St Johns Road	2	NO2	33	40.38450374	10	65536
St Johns Road	2	NO2	33	37.7246228	10	131072
St Johns Road	2	NO2	33	36.27600902	10	262144
St Johns Road	2	NO2	33	35.80387286	10	524288
St Johns Road	2	NO2	33	0	11	1
St Johns Road	2	NO2	33	45.45256638	11	1024
St Johns Road	2	NO2	33	45.45807684	11	2048
St Johns Road	2	NO2	33	45.11518125	11	4096
St Johns Road	2	NO2	33	45.31919985	11	8192
St Johns Road	2	NO2	33	44.84376486	11	16384
St Johns Road	2	NO2	33	42.96904737	11	32768
St Johns Road	2	NO2	33	40.58008775	11	65536
St Johns Road	2	NO2	33	37.86113071	11	131072
St Johns Road	2	NO2	33	36.31338497	11	262144
St Johns Road	2	NO2	33	35.80084191	11	524288
St Johns Road	2	NO2	33	0	12	1
St Johns Road	2	NO2	33	45.45256638	12	1024
St Johns Road	2	NO2	33	45.45807675	12	2048
St Johns Road	2	NO2	33	45.11433449	12	4096
St Johns Road	2	NO2	33	45.31215661	12	8192
St Johns Road	2	NO2	33	44.94718114	12	16384
St Johns Road	2	NO2	33	43.09887855	12	32768
St Johns Road	2	NO2	33	40.75541133	12	65536
St Johns Road	2	NO2	33	37.99374413	12	131072
St Johns Road	2	NO2	33	36.35253767	12	262144
St Johns Road	2	NO2	33	35.79919127	12	524288
St Johns Road	2	NO2	33	0	13	1
St Johns Road	2	NO2	33	45.45256638	13	1024
St Johns Road	2	NO2	33	45.45807671	13	2048
St Johns Road	2	NO2	33	45.11374979	13	4096
St Johns Road	2	NO2	33	45.30311833	13	8192
St Johns Road	2	NO2	33	45.03381777	13	16384
St Johns Road	2	NO2	33	43.21635126	13	32768
St Johns Road	2	NO2	33	40.91289224	13	65536
St Johns Road	2	NO2	33	38.12225337	13	131072
St Johns Road	2	NO2	33	36.39311666	13	262144
St Johns Road	2	NO2	33	35.79881032	13	524288
St Johns Road	2	NO2	33	0	14	1
St Johns Road	2	NO2	33	45.45256638	14	1024
St Johns Road	2	NO2	33	45.4580767	14	2048
St Johns Road	2	NO2	33	45.11334708	14	4096
St Johns Road	2	NO2	33	45.29341778	14	8192
St Johns Road	2	NO2	33	45.10621801	14	16384
St Johns Road	2	NO2	33	43.32410589	14	32768
St Johns Road	2	NO2	33	41.05466029	14	65536
St Johns Road	2	NO2	33	38.24656297	14	131072
St Johns Road	2	NO2	33	36.43482498	14	262144
St Johns Road	2	NO2	33	35.79959697	14	524288
St Johns Road	2	NO2	33	0	15	1
St Johns Road	2	NO2	33	45.45256638	15	1024
St Johns Road	2	NO2	33	45.45807669	15	2048
St Johns Road	2	NO2	33	45.11307004	15	4096
St Johns Road	2	NO2	33	45.28382354	15	8192
St Johns Road	2	NO2	33	45.16652039	15	16384
St Johns Road	2	NO2	33	43.42405032	15	32768
St Johns Road	2	NO2	33	41.18258555	15	65536
St Johns Road	2	NO2	33	38.36665715	15	131072
St Johns Road	2	NO2	33	36.47741122	15	262144
St Johns Road	2	NO2	33	35.80145703	15	524288
St Johns Road	2	NO2	33	0	16	1
St Johns Road	2	NO2	33	45.45256638	16	1024
St Johns Road	2	NO2	33	45.45807669	16	2048
St Johns Road	2	NO2	33	45.11287955	16	4096
St Johns Road	2	NO2	33	45.27475507	16	8192
St Johns Road	2	NO2	33	45.21653772	16	16384
St Johns Road	2	NO2	33	43.51756951	16	32768
St Johns Road	2	NO2	33	41.29830823	16	65536
St Johns Road	2	NO2	33	38.482575	16	131072
St Johns Road	2	NO2	33	36.52066273	16	262144
St Johns Road	2	NO2	33	35.80430357	16	524288
St Johns Road	2	NO2	33	0	17	1
St Johns Road	2	NO2	33	45.45256638	17	1024
St Johns Road	2	NO2	33	45.45807669	17	2048
St Johns Road	2	NO2	33	45.11274861	17	4096
St Johns Road	2	NO2	33	45.26641856	17	8192
St Johns Road	2	NO2	33	45.25781349	17	16384
St Johns Road	2	NO2	33	43.60567509	17	32768
St Johns Road	2	NO2	33	41.40326695	17	65536
St Johns Road	2	NO2	33	38.59439266	17	131072
St Johns Road	2	NO2	33	36.56439979	17	262144
St Johns Road	2	NO2	33	35.80805638	17	524288
St Johns Road	2	NO2	33	0	18	1
St Johns Road	2	NO2	33	45.45256638	18	1024
St Johns Road	2	NO2	33	45.45807669	18	2048
St Johns Road	2	NO2	33	45.11265861	18	4096
St Johns Road	2	NO2	33	45.25889228	18	8192
St Johns Road	2	NO2	33	45.29166509	18	16384
St Johns Road	2	NO2	33	43.68911218	18	32768
St Johns Road	2	NO2	33	41.49872431	18	65536
St Johns Road	2	NO2	33	38.70221066	18	131072
St Johns Road	2	NO2	33	36.60847073	18	262144
St Johns Road	2	NO2	33	35.81264148	18	524288
St Johns Road	2	NO2	33	0	19	1
St Johns Road	2	NO2	33	45.45256638	19	1024
St Johns Road	2	NO2	33	45.45807669	19	2048
St Johns Road	2	NO2	33	45.11259675	19	4096
St Johns Road	2	NO2	33	45.25218005	19	8192
St Johns Road	2	NO2	33	45.31921817	19	16384
St Johns Road	2	NO2	33	43.76843565	19	32768
St Johns Road	2	NO2	33	41.58578947	19	65536
St Johns Road	2	NO2	33	38.80614484	19	131072
St Johns Road	2	NO2	33	36.65274772	19	262144
St Johns Road	2	NO2	33	35.81799058	19	524288
St Johns Road	2	NO2	33	0	20	1
St Johns Road	2	NO2	33	45.45256638	20	1024
St Johns Road	2	NO2	33	45.45807669	20	2048
St Johns Road	2	NO2	33	45.11255424	20	4096
St Johns Road	2	NO2	33	45.24624434	20	8192
St Johns Road	2	NO2	33	45.34143509	20	16384
St Johns Road	2	NO2	33	43.84406469	20	32768
St Johns Road	2	NO2	33	41.66543769	20	65536
St Johns Road	2	NO2	33	38.90631997	20	131072
St Johns Road	2	NO2	33	36.69712321	20	262144
St Johns Road	2	NO2	33	35.82404071	20	524288
St Johns Road	2	NO2	33	0	21	1
St Johns Road	2	NO2	33	45.45256638	21	1024
St Johns Road	2	NO2	33	45.45807669	21	2048
St Johns Road	2	NO2	33	45.11252502	21	4096
St Johns Road	2	NO2	33	45.24102663	21	8192
St Johns Road	2	NO2	33	45.35913859	21	16384
St Johns Road	2	NO2	33	43.91632166	21	32768
St Johns Road	2	NO2	33	41.73852734	21	65536
St Johns Road	2	NO2	33	39.00286525	21	131072
St Johns Road	2	NO2	33	36.74150684	21	262144
St Johns Road	2	NO2	33	35.83073375	21	524288
St Johns Road	2	NO2	33	0	22	1
St Johns Road	2	NO2	33	45.45256638	22	1024
St Johns Road	2	NO2	33	45.45807669	22	2048
St Johns Road	2	NO2	33	45.11250494	22	4096
St Johns Road	2	NO2	33	45.23645961	22	8192
St Johns Road	2	NO2	33	45.37303194	22	16384
St Johns Road	2	NO2	33	43.98545977	22	32768
St Johns Road	2	NO2	33	41.80581454	22	65536
St Johns Road	2	NO2	33	39.09591117	22	131072
St Johns Road	2	NO2	33	36.7858229	22	262144
St Johns Road	2	NO2	33	35.83801611	22	524288
St Johns Road	2	NO2	33	0	23	1
St Johns Road	2	NO2	33	45.45256638	23	1024
St Johns Road	2	NO2	33	45.45807669	23	2048
St Johns Road	2	NO2	33	45.11249114	23	4096
St Johns Road	2	NO2	33	45.23247444	23	8192
St Johns Road	2	NO2	33	45.38371604	23	16384
St Johns Road	2	NO2	33	44.05168286	23	32768
St Johns Road	2	NO2	33	41.86796587	23	65536
St Johns Road	2	NO2	33	39.18558743	23	131072
St Johns Road	2	NO2	33	36.83000813	23	262144
St Johns Road	2	NO2	33	35.84583834	23	524288
St Johns Road	2	NO2	33	0	24	1
St Johns Road	2	NO2	33	45.45256638	24	1024
St Johns Road	2	NO2	33	45.45807669	24	2048
St Johns Road	2	NO2	33	45.11248166	24	4096
St Johns Road	2	NO2	33	45.22900474	24	8192
St Johns Road	2	NO2	33	45.39170405	24	16384
St Johns Road	2	NO2	33	44.11515929	24	32768
St Johns Road	2	NO2	33	41.92556931	24	65536
St Johns Road	2	NO2	33	39.27202141	24	131072
St Johns Road	2	NO2	33	36.8740098	24	262144
St Johns Road	2	NO2	33	35.85415483	24	524288
St Johns Road	2	NO2	33	0	25	1
St Johns Road	2	NO2	33	45.45256638	25	1024
St Johns Road	2	NO2	33	45.45807669	25	2048
St Johns Road	2	NO2	33	45.11247514	25	4096
St Johns Road	2	NO2	33	45.22598876	25	8192
St Johns Road	2	NO2	33	45.39743392	25	16384
St Johns Road	2	NO2	33	44.17603192	25	32768
St Johns Road	2	NO2	33	41.97914382	25	65536
St Johns Road	2	NO2	33	39.35533733	25	131072
St Johns Road	2	NO2	33	36.91778414	25	262144
St Johns Road	2	NO2	33	35.86292352	25	524288
St Johns Road	3	NO2	46	0	0	1
St Johns Road	3	NO2	46	38.56045727	0	1024
St Johns Road	3	NO2	46	38.34531197	0	2048
St Johns Road	3	NO2	46	37.6299098	0	4096
St Johns Road	3	NO2	46	36.07648099	0	8192
St Johns Road	3	NO2	46	34.55801511	0	16384
St Johns Road	3	NO2	46	33.56523759	0	32768
St Johns Road	3	NO2	46	33.01327034	0	65536
St Johns Road	3	NO2	46	32.72473473	0	131072
St Johns Road	3	NO2	46	32.57756714	0	262144
St Johns Road	3	NO2	46	32.50329259	0	524288
St Johns Road	3	NO2	46	0	1	1
St Johns Road	3	NO2	46	38.42292412	1	1024
St Johns Road	3	NO2	46	38.1200103	1	2048
St Johns Road	3	NO2	46	37.83032613	1	4096
St Johns Road	3	NO2	46	37.69834317	1	8192
St Johns Road	3	NO2	46	37.10747478	1	16384
St Johns Road	3	NO2	46	35.62093731	1	32768
St Johns Road	3	NO2	46	34.22257605	1	65536
St Johns Road	3	NO2	46	33.35962508	1	131072
St Johns Road	3	NO2	46	32.89955756	1	262144
St Johns Road	3	NO2	46	32.6649817	1	524288
St Johns Road	3	NO2	46	0	2	1
St Johns Road	3	NO2	46	38.42274903	2	1024
St Johns Road	3	NO2	46	38.09050821	2	2048
St Johns Road	3	NO2	46	37.59759774	2	4096
St Johns Road	3	NO2	46	37.57789271	2	8192
St Johns Road	3	NO2	46	37.66914563	2	16384
St Johns Road	3	NO2	46	36.48907756	2	32768
St Johns Road	3	NO2	46	34.6223363	2	65536
St Johns Road	3	NO2	46	33.40145286	2	131072
St Johns Road	3	NO2	46	32.84770782	2	262144
St Johns Road	3	NO2	46	32.6164034	2	524288
St Johns Road	3	NO2	46	0	3	1
St Johns Road	3	NO2	46	38.42274942	3	1024
St Johns Road	3	NO2	46	38.08872693	3	2048
St Johns Road	3	NO2	46	37.51174892	3	4096
St Johns Road	3	NO2	46	37.3609671	3	8192
St Johns Road	3	NO2	46	37.77328306	3	16384
St Johns Road	3	NO2	46	37.09667622	3	32768
St Johns Road	3	NO2	46	35.04666498	3	65536
St Johns Road	3	NO2	46	33.48736673	3	131072
St Johns Road	3	NO2	46	32.81324567	3	262144
St Johns Road	3	NO2	46	32.57297185	3	524288
St Johns Road	3	NO2	46	0	4	1
St Johns Road	3	NO2	46	38.42274949	4	1024
St Johns Road	3	NO2	46	38.08858247	4	2048
St Johns Road	3	NO2	46	37.48225376	4	4096
St Johns Road	3	NO2	46	37.18993473	4	8192
St Johns Road	3	NO2	46	37.69854977	4	16384
St Johns Road	3	NO2	46	37.50147314	4	32768
St Johns Road	3	NO2	46	35.45600525	4	65536
St Johns Road	3	NO2	46	33.60292028	4	131072
St Johns Road	3	NO2	46	32.793474	4	262144
St Johns Road	3	NO2	46	32.53428657	4	524288
St Johns Road	3	NO2	46	0	5	1
St Johns Road	3	NO2	46	38.4227495	5	1024
St Johns Road	3	NO2	46	38.08855688	5	2048
St Johns Road	3	NO2	46	37.47150963	5	4096
St Johns Road	3	NO2	46	37.07179048	5	8192
St Johns Road	3	NO2	46	37.55935162	5	16384
St Johns Road	3	NO2	46	37.75962809	5	32768
St Johns Road	3	NO2	46	35.83323655	5	65536
St Johns Road	3	NO2	46	33.73774655	5	131072
St Johns Road	3	NO2	46	32.78609737	5	262144
St Johns Road	3	NO2	46	32.4999778	5	524288
St Johns Road	3	NO2	46	0	6	1
St Johns Road	3	NO2	46	38.4227495	6	1024
St Johns Road	3	NO2	46	38.08854864	6	2048
St Johns Road	3	NO2	46	37.46712522	6	4096
St Johns Road	3	NO2	46	36.99308101	6	8192
St Johns Road	3	NO2	46	37.40521571	6	16384
St Johns Road	3	NO2	46	37.91428292	6	32768
St Johns Road	3	NO2	46	36.17253014	6	65536
St Johns Road	3	NO2	46	33.88443193	6	131072
St Johns Road	3	NO2	46	32.78916247	6	262144
St Johns Road	3	NO2	46	32.46970423	6	524288
St Johns Road	3	NO2	46	0	7	1
St Johns Road	3	NO2	46	38.4227495	7	1024
St Johns Road	3	NO2	46	38.08854553	7	2048
St Johns Road	3	NO2	46	37.46505322	7	4096
St Johns Road	3	NO2	46	36.94105608	7	8192
St Johns Road	3	NO2	46	37.25682594	7	16384
St Johns Road	3	NO2	46	37.99658433	7	32768
St Johns Road	3	NO2	46	36.4735508	7	65536
St Johns Road	3	NO2	46	34.03769935	7	131072
St Johns Road	3	NO2	46	32.80100745	7	262144
St Johns Road	3	NO2	46	32.4431508	7	524288
St Johns Road	3	NO2	46	0	8	1
St Johns Road	3	NO2	46	38.4227495	8	1024
St Johns Road	3	NO2	46	38.08854433	8	2048
St Johns Road	3	NO2	46	37.46392441	8	4096
St Johns Road	3	NO2	46	36.90656471	8	8192
St Johns Road	3	NO2	46	37.12195149	8	16384
St Johns Road	3	NO2	46	38.02863517	8	32768
St Johns Road	3	NO2	46	36.73847008	8	65536
St Johns Road	3	NO2	46	34.19381598	8	131072
St Johns Road	3	NO2	46	32.82021866	8	262144
St Johns Road	3	NO2	46	32.42002664	8	524288
St Johns Road	3	NO2	46	0	9	1
St Johns Road	3	NO2	46	38.4227495	9	1024
St Johns Road	3	NO2	46	38.08854386	9	2048
St Johns Road	3	NO2	46	37.4632412	9	4096
St Johns Road	3	NO2	46	36.88350257	9	8192
St Johns Road	3	NO2	46	37.00267024	9	16384
St Johns Road	3	NO2	46	38.02606587	9	32768
St Johns Road	3	NO2	46	36.97045234	9	65536
St Johns Road	3	NO2	46	34.35016372	9	131072
St Johns Road	3	NO2	46	32.84559388	9	262144
St Johns Road	3	NO2	46	32.40006329	9	524288
St Johns Road	3	NO2	46	0	10	1
St Johns Road	3	NO2	46	38.4227495	10	1024
St Johns Road	3	NO2	46	38.08854368	10	2048
St Johns Road	3	NO2	46	37.46280069	10	4096
St Johns Road	3	NO2	46	36.86789324	10	8192
St Johns Road	3	NO2	46	36.89864474	10	16384
St Johns Road	3	NO2	46	37.99993067	10	32768
St Johns Road	3	NO2	46	37.17290787	10	65536
St Johns Road	3	NO2	46	34.50492803	10	131072
St Johns Road	3	NO2	46	32.87611093	10	262144
St Johns Road	3	NO2	46	32.3830129	10	524288
St Johns Road	3	NO2	46	0	11	1
St Johns Road	3	NO2	46	38.4227495	11	1024
St Johns Road	3	NO2	46	38.08854361	11	2048
St Johns Road	3	NO2	46	37.46250705	11	4096
St Johns Road	3	NO2	46	36.85716531	11	8192
St Johns Road	3	NO2	46	36.80859941	11	16384
St Johns Road	3	NO2	46	37.95804844	11	32768
St Johns Road	3	NO2	46	37.34914193	11	65536
St Johns Road	3	NO2	46	34.65687239	11	131072
St Johns Road	3	NO2	46	32.91090098	11	262144
St Johns Road	3	NO2	46	32.36864671	11	524288
St Johns Road	3	NO2	46	0	12	1
St Johns Road	3	NO2	46	38.4227495	12	1024
St Johns Road	3	NO2	46	38.08854358	12	2048
St Johns Road	3	NO2	46	37.4623081	12	4096
St Johns Road	3	NO2	46	36.84965759	12	8192
St Johns Road	3	NO2	46	36.7309776	12	16384
St Johns Road	3	NO2	46	37.9059442	12	32768
St Johns Road	3	NO2	46	37.50220526	12	65536
St Johns Road	3	NO2	46	34.80517505	12	131072
St Johns Road	3	NO2	46	32.94922578	12	262144
St Johns Road	3	NO2	46	32.35675355	12	524288
St Johns Road	3	NO2	46	0	13	1
St Johns Road	3	NO2	46	38.4227495	13	1024
St Johns Road	3	NO2	46	38.08854357	13	2048
St Johns Road	3	NO2	46	37.46217226	13	4096
St Johns Road	3	NO2	46	36.8442948	13	8192
St Johns Road	3	NO2	46	36.66422496	13	16384
St Johns Road	3	NO2	46	37.8475123	13	32768
St Johns Road	3	NO2	46	37.63484475	13	65536
St Johns Road	3	NO2	46	34.94931091	13	131072
St Johns Road	3	NO2	46	32.99045825	13	262144
St Johns Road	3	NO2	46	32.3471385	13	524288
St Johns Road	3	NO2	46	0	14	1
St Johns Road	3	NO2	46	38.4227495	14	1024
St Johns Road	3	NO2	46	38.08854356	14	2048
St Johns Road	3	NO2	46	37.46207918	14	4096
St Johns Road	3	NO2	46	36.84037824	14	8192
St Johns Road	3	NO2	46	36.60690301	14	16384
St Johns Road	3	NO2	46	37.78548604	14	32768
St Johns Road	3	NO2	46	37.74950197	14	65536
St Johns Road	3	NO2	46	35.08896612	14	131072
St Johns Road	3	NO2	46	33.03406601	14	262144
St Johns Road	3	NO2	46	32.33962165	14	524288
St Johns Road	3	NO2	46	0	15	1
St Johns Road	3	NO2	46	38.4227495	15	1024
St Johns Road	3	NO2	46	38.08854356	15	2048
St Johns Road	3	NO2	46	37.4620153	15	4096
