55946267,-3189152,1,-99
55946267,-3189152,11,-95
55946267,-3189152,11,-99
55946267,-3189152,11,-94
55945545,-3189935,48,-93
55945422,-3191072,11,-91
55945422,-3191072,1,-87
55945422,-3191072,6,-92
55945422,-3191072,8,-82
55945422,-3191072,1,-89
55946004,-3191306,11,-97
55946004,-3191306,11,-97
55946004,-3191306,11,-90
55946208,-3191179,11,-87
55948388,-3192177,140,-86
55948388,-3192177,6,-92
55948388,-3192177,6,-93
55948639,-3192310,11,-96
55948875,-3192459,10,-92
55948875,-3192459,1,-95
55948875,-3192459,1,-89
55948875,-3192459,6,-94
55948875,-3192459,11,-94
55948875,-3192459,11,-100
55948875,-3192459,6,-97
55949019,-3192594,8,-94
55949019,-3192594,11,-97
55949019,-3192594,6,-97
55949019,-3192594,6,-95
55949019,-3192594,1,-94
55949191,-3192658,6,-96
55949191,-3192658,6,-98
55949191,-3192658,11,-78
55949353,-3192828,10,-96
55949590,-3192907,6,-104
55951941,-3191652,1,-84
55951941,-3191652,6,-95
55951806,-3191973,1,-95
55951806,-3191973,1,-94
55952029,-3191969,6,-78
55952079,-3191995,1,-95
55952079,-3191995,1,-95
55952224,-3192056,1,-82
55952593,-3193097,1,-97
55952593,-3193097,1,-87
55952596,-3193434,1,-99
55952782,-3193591,1,-92
55952829,-3193655,1,-96
55952829,-3193655,6,-90
55952862,-3193710,9,-98
55952862,-3193710,6,-92
55952900,-3193768,6,-95
55953093,-3193900,36,-92
55953760,-3194287,6,-93
55953918,-3194427,1,-94
55953957,-3194468,11,-92
55953957,-3194468,8,-94
55953895,-3194603,36,-88
55953862,-3194673,1,-96
55953802,-3194889,3,-101
55953802,-3194889,5,-96
55953754,-3195048,1,-101
55953696,-3195200,11,-93
55953696,-3195200,8,-94
55953693,-3195120,13,-94
55953655,-3195165,10,-93
55953650,-3195248,6,-91
55953634,-3195441,1,-100
55953616,-3195586,5,-94
55953511,-3196216,1,-94
55953511,-3196216,6,-100
55953441,-3196619,11,-99
55953441,-3196619,11,-92
55953411,-3196780,1,-94
55953283,-3197882,6,-87
55953196,-3198430,1,-98
55953002,-3199543,2,-90
55952968,-3199860,11,-95
55952937,-3200077,1,-93
55952803,-3201380,1,-96
55952803,-3201380,11,-93
55952660,-3202105,1,-92
55952525,-3202740,1,-92
55952525,-3202740,1,-95
55952413,-3203386,1,-90
55952413,-3203386,3,-97
55952413,-3203386,3,-98
55952341,-3203805,5,-96
55952341,-3203805,6,-89
55952228,-3204487,10,-90
55952228,-3204487,4,-91
55952102,-3205178,11,-94
55952102,-3205178,132,-86
55952042,-3205533,11,-98
55952042,-3205533,6,-87
55952042,-3205533,1,-99
55952042,-3205533,3,-90
55952021,-3205606,11,-92
55952001,-3205681,11,-95
55952001,-3205681,6,-108
55951957,-3205778,1,-91
55951921,-3205891,1,-93
55951921,-3205891,1,-99
55951887,-3206323,1,-95
55951723,-3206536,11,-98
55951580,-3205851,1,-98
55951580,-3205851,11,-95
55951163,-3206884,11,-91
55951163,-3206884,1,-95
55951163,-3206884,1,-92
55951163,-3206884,11,-91
55951116,-3207169,1,-93
55950741,-3208162,1,-93
55950741,-3208162,6,-95
55950741,-3208162,6,-94
55950592,-3208059,3,-95
55950397,-3207923,11,-96
55950397,-3207923,1,-78
55950242,-3208078,6,-94
55950184,-3208597,11,-96
55950184,-3208597,6,-91
55950376,-3209147,11,-96
55950376,-3209147,1,-94
55950376,-3209147,6,-96
55950376,-3209147,6,-95
55950484,-3209422,11,-87
55950484,-3209422,11,-86
55950484,-3209422,11,-76
55950666,-3209826,6,-89
55950825,-3210156,6,-96
55950825,-3210156,6,-98
55950825,-3210156,6,-94
55950904,-3210281,3,-97
55951005,-3210503,11,-91
55951100,-3210754,2,-89
55951290,-3211269,11,-93
55951290,-3211269,11,-91
55951492,-3211861,1,-100
55951544,-3212045,1,-98
55951850,-3212856,7,-89
55952070,-3213593,11,-102
55953468,-3214788,11,-95
55955164,-3218763,11,-96
55955164,-3218763,11,-97
55955049,-3220778,1,-101
55955019,-3221358,11,-100
55954860,-3224496,6,-95
55954824,-3225085,11,-95
55954824,-3225085,6,-96
55954824,-3225085,6,-95
55954770,-3226173,7,-91
55954770,-3226173,7,-91
55954730,-3227052,11,-94
55954730,-3227052,11,-91
55954686,-3227886,11,-101
55954686,-3227886,11,-101
55954656,-3228536,6,-91
55954656,-3228536,11,-94
55954629,-3228980,11,-93
55954629,-3228980,11,-95
55954608,-3229868,1,-86
55954608,-3229868,1,-90
55954480,-3230742,10,-94
55954480,-3230742,10,-95
55954552,-3231228,1,-94
55954552,-3231228,1,-96
55954560,-3231952,6,-97
55954560,-3231952,6,-97
55954564,-3232887,1,-90
55954564,-3232887,1,-98
55954571,-3234836,1,-95
55954772,-3236852,11,-96
55955634,-3240839,6,-89
55955634,-3240839,11,-99
55955816,-3241525,1,-92
55955816,-3241525,11,-94
55955816,-3241525,1,-93
55955902,-3241900,11,-96
55956178,-3243104,1,-94
55956178,-3243104,11,-97
55956242,-3243368,6,-96
55956242,-3243368,1,-98
55956242,-3243368,1,-100
55956242,-3243368,6,-94
55956224,-3243387,1,-90
55956269,-3243396,6,-96
55956269,-3243396,1,-95
55956269,-3243396,11,-95
55956462,-3244445,6,-96
55954766,-3244534,6,-97
55954766,-3244534,6,-97
55954539,-3243986,11,-95
55954539,-3243986,11,-96
55953802,-3243379,6,-73
55953802,-3243379,6,-74
55952069,-3244674,1,-97
55951679,-3244211,1,-94
55951679,-3244211,1,-98
55951324,-3243672,11,-94
55951324,-3243672,1,-95
55951096,-3243256,6,-99
55951096,-3243256,6,-98
55950887,-3243117,11,-98
55950887,-3243117,11,-105
55950550,-3245199,11,-99
55950550,-3245199,11,-96
55950453,-3247620,1,-89
55950453,-3247620,1,-87
55949661,-3249987,1,-99
55949661,-3249987,1,-97
55948469,-3248170,1,-93
55948469,-3248170,1,-92
55948271,-3247865,6,-97
55948271,-3247865,10,-99
55948271,-3247865,6,-96
55948170,-3247729,6,-102
55948170,-3247729,1,-100
55948001,-3247600,7,-98
55948001,-3247600,7,-96
55947711,-3247140,1,-86
55947711,-3247140,1,-87
55947434,-3246668,7,-95
55947434,-3246668,7,-92
55947261,-3246412,1,-95
55947261,-3246412,1,-95
55947143,-3246234,1,-97
55947143,-3246234,1,-94
55946682,-3247457,13,-90
55946682,-3247457,13,-86
55946614,-3247873,11,-91
55946614,-3247873,11,-94
55946463,-3248659,6,-97
55946463,-3248659,6,-93
55946409,-3248962,6,-82
55946409,-3248962,6,-84
55946337,-3249334,11,-92
55946337,-3249334,11,-98
55946174,-3250018,11,-96
55940294,-3251403,11,-89
55939800,-3251335,11,-99
55939800,-3251335,11,-99
55939123,-3251299,1,-97
55939123,-3251299,1,-95
55938854,-3251187,1,-93
55934390,-3246065,11,-83
55935330,-3246481,6,-92
55935387,-3246241,6,-94
55935717,-3245882,11,-97
55935818,-3245739,11,-99
55936947,-3243645,11,-88
55936947,-3243645,1,-95
55937283,-3243230,7,-93
55937372,-3243043,7,-92
55937524,-3240888,11,-92
55937524,-3240888,11,-101
55937087,-3240092,1,-90
55937087,-3240092,1,-93
55937058,-3240015,1,-99
55937058,-3240015,1,-95
55936979,-3239851,11,-97
55936979,-3239851,11,-95
55936963,-3236281,11,-98
55937045,-3235926,11,-86
55937121,-3235646,1,-85
55937162,-3235365,1,-97
55937162,-3235365,1,-95
55937162,-3235365,1,-93
55937314,-3234559,11,-80
55937314,-3234559,11,-83
55937393,-3234265,1,-89
55937393,-3234265,5,-103
55937412,-3234187,11,-102
55937412,-3234187,7,-87
55937412,-3234187,11,-109
55937412,-3234187,6,-97
55937822,-3232563,1,-97
55937822,-3232563,8,-106
55938088,-3231414,6,-94
55938088,-3231414,4,-84
55938088,-3231414,6,-90
55938240,-3230930,6,-97
55938268,-3230849,6,-92
55938268,-3230849,6,-95
55938390,-3230475,1,-84
55938617,-3229565,7,-93
55938617,-3229565,7,-96
55938924,-3227976,11,-96
55939152,-3225606,11,-96
55939152,-3225606,6,-98
55939132,-3225371,11,-88
55939082,-3223871,11,-95
55939974,-3219727,11,-90
55940214,-3218821,36,-91
55940214,-3218821,1,-87
55940353,-3218292,6,-97
55940353,-3218292,11,-94
55940570,-3217618,11,-96
55940570,-3217618,5,-95
55940570,-3217618,1,-95
55940570,-3217618,1,-93
55940570,-3217618,1,-99
55940667,-3217335,1,-85
55941025,-3216449,6,-93
55941765,-3214586,6,-98
55942005,-3214016,11,-99
55942211,-3213420,11,-92
55942380,-3212804,6,-97
55942682,-3211620,1,-95
55942917,-3210684,6,-98
55943101,-3209793,1,-94
55943249,-3209090,11,-98
55943249,-3209090,11,-92
55943296,-3208750,8,-91
55943321,-3208490,1,-99
55943321,-3208490,3,-90
55943416,-3208148,6,-82
55943467,-3207985,1,-93
55943467,-3207985,1,-91
55943684,-3207291,6,-96
55943684,-3207291,6,-95
55944580,-3206114,6,-93
55944580,-3206114,6,-93
55944822,-3206369,1,-93
55945006,-3206572,44,-90
55945409,-3206896,1,-94
55945752,-3206995,11,-91
55945752,-3206995,11,-92
55945805,-3206701,11,-98
55945805,-3206701,11,-96
55945861,-3206139,1,-95
55945864,-3206022,11,-97
55945890,-3205851,10,-93
55945983,-3206375,11,-89
55947084,-3205936,6,-95
55947084,-3205936,1,-76
55947084,-3205936,6,-100
55947084,-3205936,8,-93
55947419,-3206103,4,-91
55947419,-3206103,11,-88
55947567,-3206170,1,-96
55947567,-3206170,6,-93
55947662,-3206225,6,-98
55947662,-3206225,11,-99
55947662,-3206225,11,-99
55947838,-3206284,1,-87
55947838,-3206284,9,-99
55947838,-3206284,1,-93
55948378,-3206471,7,-88
55948378,-3206471,11,-93
55948643,-3206578,5,-97
55948939,-3206735,1,-86
55949177,-3206842,6,-93
55949226,-3206935,11,-97
55949226,-3206935,1,-94
55949313,-3206706,11,-92
