#o3_ppb	temp	humid	time
1.01	4.2	78.1	2014-02-03T21:47:00
1.06	4.2	78.1	2014-02-03T21:46:00
1.16	4.2	78.1	2014-02-03T21:45:00
1.21	4.2	78.1	2014-02-03T21:44:00
1.23	4.2	78.1	2014-02-03T21:43:00
1.09	4.14	78.3	2014-02-03T21:42:00
1.04	4.1	78.4	2014-02-03T21:41:00
0.927	4.1	78.4	2014-02-03T21:40:00
0.805	4.1	78.4	2014-02-03T21:39:00
0.9	4.1	78.4	2014-02-03T21:38:00
0.883	4.1	78.4	2014-02-03T21:37:00
0.945	4.1	78.4	2014-02-03T21:36:00
0.847	4.1	78.4	2014-02-03T21:35:00
0.65	4.1	78.4	2014-02-03T21:34:00
0.67	4.1	78.4	2014-02-03T21:33:00
0.478	4.16	77.5	2014-02-03T21:32:00
0.265	4.2	77	2014-02-03T21:31:00
0.215	4.2	77	2014-02-03T21:30:00
0.192	4.2	77	2014-02-03T21:29:00
0.178	4.2	77	2014-02-03T21:28:00
0.108	4.2	77	2014-02-03T21:27:00
0.01	4.2	77	2014-02-03T21:26:00
0.113	4.2	77	2014-02-03T21:25:00
0.2	4.2	77	2014-02-03T21:24:00
0.29	4.2	77	2014-02-03T21:23:00
0.277	4.08	77.4	2014-02-03T21:22:00
0.148	4	77.7	2014-02-03T21:21:00
0.158	4	77.7	2014-02-03T21:20:00
0.305	4	77.7	2014-02-03T21:19:00
0.392	4	77.7	2014-02-03T21:18:00
0.52	4	77.7	2014-02-03T21:17:00
0.843	4	77.7	2014-02-03T21:16:00
0.818	4	77.7	2014-02-03T21:15:00
0.867	4	77.7	2014-02-03T21:14:00
0.882	4	77.7	2014-02-03T21:13:00
1.02	4.18	77.1	2014-02-03T21:12:00
1.09	4.3	76.8	2014-02-03T21:11:00
0.992	4.3	76.8	2014-02-03T21:10:00
0.918	4.3	76.8	2014-02-03T21:09:00
0.908	4.3	76.8	2014-02-03T21:08:00
0.987	4.3	76.8	2014-02-03T21:07:00
1.06	4.3	76.8	2014-02-03T21:06:00
1	4.3	76.8	2014-02-03T21:05:00
1.11	4.3	76.8	2014-02-03T21:04:00
