#timestamp	ozone_ppb	temperature	humidity	latitude	longitude
1391471991.261	11.53717983	13	57	4724.6042	832.91072
1391471986.215	13.41918933	7	84	4722.4122	831.29991
1391471981.051	37.5373549	1	65	4723.78824	830.69678
1391471978.259	23.71383029	4	77	4723.70049	832.63843
1391471975.668	0.531604582	2	66	4722.618	832.29441
1391471971.492	32.77332511	6	83	4722.40878	831.30861
1391471961.383	11.53717983	13	57	4724.6063	832.91452
1391471956.228	13.66115265	7	84	4722.40489	831.31176
1391471951.053	37.5373549	1	65	4723.85604	830.46039
1391471949.171	23.75995011	4	77	4723.70285	832.63832
1391471945.244	0.531604582	2	66	4722.63257	832.36307
1391471931.250	11.53717983	13	57	4724.60262	832.90783
1391471926.228	13.66115265	7	84	4722.40212	831.31643
1391471921.226	37.5373549	1	66	4723.9014	830.3718
1391471919.165	23.75995011	4	77	4723.68682	832.63984
1391471915.431	1.094549166	2	67	4722.62471	832.40249
1391471912.270	32.79997982	6	84	4722.40468	831.32169
1391471901.178	11.53717983	13	57	4724.6032	832.90847
1391471896.473	13.79770969	6	85	4722.40151	831.30786
1391471891.045	37.5373549	1	66	4723.98364	830.28633
1391471889.179	23.80606992	4	78	4723.70539	832.62899
1391471885.388	1.094549166	2	67	4722.62576	832.45598
1391471881.605	32.79997982	6	84	4722.40186	831.3282
1391471871.189	11.53717983	13	57	4724.60644	832.9091
1391471866.303	13.79770969	6	85	4722.40452	831.3099
1391471860.563	37.39807567	1	66	4724.02338	830.20858
1391471858.795	23.80606992	4	78	4723.68052	832.60646
1391471855.389	1.577073095	2	67	4722.61737	832.53358
1391471851.212	32.81607856	5	85	4722.4056	831.33317
1391471841.178	11.53717983	13	57	4724.60546	832.91027
1391471836.208	14.03488181	6	86	4722.40618	831.31014
1391471831.052	37.39807567	1	66	4724.1058	830.01327
1391471829.169	23.85835482	3	77	4723.69196	832.6162
1391471826.760	1.577073095	2	67	4722.61081	832.60256
1391471821.382	32.81607856	5	85	4722.40191	831.31462
1391471811.169	11.53717983	13	57	4724.60991	832.9106
1391471806.434	14.03488181	6	86	4722.4052	831.31262
1391471801.052	37.18915683	1	66	4724.11762	829.96872
1391471800.148	23.85835482	3	77	4723.70135	832.61985
1391471795.189	2.059597025	2	67	4722.60655	832.62948
1391471791.246	32.85962341	5	86	4722.4007	831.31371
1391471781.235	11.53717983	13	57	4724.61157	832.91014
1391471776.293	14.27558009	5	86	4722.40251	831.30296
1391471771.050	37.18915683	1	66	4724.12946	829.83363
1391471766.108	2.059597025	2	67	4722.60884	832.64727
1391471761.672	32.85962341	5	86	4722.39881	831.31431
1391471751.221	11.53717983	13	57	4724.61148	832.90104
1391471746.384	14.27558009	5	86	4722.40169	831.30011
1391471741.042	36.94541819	1	66	4724.12832	829.76
