#timestamp.	ozone_ppb	temperature	humidity	latitude	longitude
1392422392.703	13.47407668	3	64	4722.38726	831.3414
1392422390.186	12.38729745	2	63	4724.52873	832.92906
1392422389.185	23.74206307	6	81	4722.4085	831.29419
1392422377.292	32.74522982	11	52	4723.47797	831.30391
1392422370.252	13.66115265	7	64	4723.47424	831.29559
1392422363.240	13.47407668	3	64	4722.42387	831.28828
1392422360.216	12.38729745	2	63	4724.54114	832.87002
1392422359.415	23.74206307	6	81	4722.40736	831.29663
1392422347.199	32.74522982	11	52	4723.47667	831.30302
1392422340.203	13.66115265	7	65	4723.47875	831.29272
1392422332.677	13.65307489	3	63	4722.42806	831.20572
1392422330.192	12.38729745	2	64	4724.55831	832.79086
1392422329.231	23.76606407	6	83	4722.404	831.29692
1392422316.528	32.74522982	11	52	4723.47549	831.30266
1392422310.207	13.66115265	7	65	4723.48694	831.29202
1392422302.499	13.65307489	3	63	4722.48493	831.1642
1392422300.206	12.38729745	2	64	4724.59624	832.76439
1392422299.230	23.76606407	6	83	4722.4036	831.29099
1392422291.642	32.74522982	11	52	4723.47775	831.303
1392422280.291	13.66115265	7	64	4723.48465	831.29387
1392422272.656	13.83207311	3	63	4722.48518	831.22783
1392422269.244	23.76606407	6	82	4722.40619	831.29291
1392422269.231	12.38729745	2	63	4724.65043	832.74481
1392422256.557	32.74522982	11	52	4723.47923	831.30275
1392422250.187	13.66115265	7	64	4723.47331	831.29886
1392422242.524	13.83207311	3	63	4722.47382	831.26347
1392422241.179	23.76606407	6	82	4722.40702	831.29329
1392422239.177	12.38729745	2	63	4724.64961	832.68141
1392422227.166	32.74522982	11	52	4723.47813	831.30453
1392422220.222	13.67912362	6	65	4723.47238	831.29418
1392422212.460	13.742574	3	63	4722.46587	831.32233
1392422210.207	23.79006507	6	83	4722.40602	831.29362
1392422209.191	12.4344455	3	63	4724.68113	832.69054
1392422196.503	32.75435455	12	52	4723.47928	831.30625
1392422190.254	13.67912362	6	65	4723.47439	831.29288
1392422182.413	13.742574	3	63	4722.45292	831.51569
1392422179.196	23.79006507	6	83	4722.40748	831.29351
